area,curso,N,idd,ano
38,7,32.0,-1.375148057937622,2016
17,9,44.0,-0.2609739601612091,2016
12,12,31.0,-3.4093246459960938,2016
23,17,27.0,-0.1875891536474228,2016
28,20,18.0,0.32820838689804077,2016
5,37,27.0,-0.8728068470954895,2016
38,126,54.0,0.315228134393692,2016
17,135,60.0,1.151324987411499,2016
12,140,66.0,-0.09972456097602844,2016
6,141,46.0,0.8353566527366638,2016
23,143,38.0,0.16718898713588715,2016
28,144,35.0,0.6106974482536316,2016
23,302,63.0,-1.3015692234039307,2016
12,303,39.0,0.3087589740753174,2016
6,304,38.0,-0.40195491909980774,2016
17,319,4.0,,2016
38,377,76.0,0.2048547863960266,2016
12,389,34.0,-0.14204999804496765,2016
19,390,27.0,0.04211623966693878,2016
6,391,18.0,1.3630249500274658,2016
17,399,9.0,2.2993617057800293,2016
12,484,43.0,-0.7101283073425293,2016
6,485,46.0,0.31344738602638245,2016
23,486,47.0,0.19972312450408936,2016
28,488,64.0,-0.34280526638031006,2016
38,497,33.0,0.24895848333835602,2016
5,504,41.0,-0.03541848063468933,2016
17,508,34.0,-0.2809227705001831,2016
19,516,22.0,0.8138922452926636,2016
19,590,42.0,-0.5314031839370728,2016
28,591,27.0,0.16007421910762787,2016
23,626,32.0,0.21726879477500916,2016
36,627,9.0,0.0634983479976654,2016
17,632,69.0,-0.41726282238960266,2016
17,685,182.0,-0.5784115195274353,2016
5,695,79.0,-0.8310065269470215,2016
28,698,61.0,0.24564367532730103,2016
51,701,43.0,0.29177260398864746,2016
17,751,53.0,0.22542905807495117,2016
12,758,78.0,-0.015936601907014847,2016
36,759,41.0,-0.19716580212116241,2016
6,760,39.0,-0.14086183905601501,2016
19,761,31.0,-0.4306785464286804,2016
38,762,47.0,-1.7652082443237305,2016
23,763,36.0,-0.9814192056655884,2016
5,777,51.0,0.1652483493089676,2016
38,859,37.0,0.31951603293418884,2016
23,867,27.0,0.07051145285367966,2016
12,868,159.0,0.26316991448402405,2016
6,869,67.0,-0.0036997441202402115,2016
36,870,51.0,-0.0941263735294342,2016
17,886,32.0,0.1531887650489807,2016
5,888,27.0,-1.0829938650131226,2016
27,953,7.0,0.49067509174346924,2016
38,957,30.0,0.22729745507240295,2016
12,1026,61.0,-0.43328267335891724,2016
23,1043,31.0,-0.3929952383041382,2016
38,1098,6.0,4.104634761810303,2016
12,1107,73.0,0.211875781416893,2016
23,1225,30.0,0.8813956379890442,2016
28,1227,33.0,0.37469804286956787,2016
38,1242,16.0,0.37706199288368225,2016
36,1322,6.0,0.3749413788318634,2016
17,1433,92.0,-0.6888601183891296,2016
12,1439,86.0,-0.5761635899543762,2016
5,1440,76.0,0.12026480585336685,2016
6,1441,76.0,-0.29787129163742065,2016
12,1518,81.0,-0.6611661911010742,2016
38,1526,29.0,0.09220003336668015,2016
23,1627,50.0,0.3079020380973816,2016
36,1628,32.0,0.005910713225603104,2016
12,1629,128.0,-1.7104792594909668,2016
28,1630,22.0,0.5678316950798035,2016
6,1631,69.0,-0.20133768022060394,2016
27,1644,16.0,0.5015610456466675,2016
38,1650,28.0,0.23768925666809082,2016
12,1725,59.0,0.42638519406318665,2016
6,1726,52.0,0.13837333023548126,2016
23,1727,45.0,0.4350188672542572,2016
17,1728,56.0,0.2142748385667801,2016
12,1879,67.0,0.16924750804901123,2016
6,1883,65.0,0.2584684193134308,2016
38,1887,45.0,-0.8821830749511719,2016
19,1924,38.0,0.4467465281486511,2016
36,2089,17.0,0.8110461831092834,2016
23,2112,43.0,-0.8484049439430237,2016
17,2113,20.0,1.3827404975891113,2016
23,2133,29.0,0.40322479605674744,2016
6,2147,22.0,-0.637025773525238,2016
5,2191,32.0,0.059406451880931854,2016
23,2192,45.0,0.17590276896953583,2016
28,2202,61.0,0.4951109290122986,2016
38,2214,136.0,-3.05057430267334,2016
5,2295,30.0,0.5921733379364014,2016
6,2297,105.0,0.058852341026067734,2016
17,2298,17.0,-2.1229512691497803,2016
12,2304,149.0,-0.5313680171966553,2016
12,2348,39.0,-1.2415536642074585,2016
27,2350,22.0,-0.07045668363571167,2016
36,2351,32.0,0.2641866207122803,2016
17,2442,34.0,-12.949109077453613,2016
28,2451,31.0,-0.7251029014587402,2016
5,2535,39.0,0.15389728546142578,2016
17,2536,31.0,1.1786885261535645,2016
36,2544,11.0,2.5685908794403076,2016
6,2694,78.0,-0.11286994814872742,2016
12,2695,102.0,0.1161099523305893,2016
23,2701,37.0,-1.5637038946151733,2016
6,3127,73.0,-0.5988519787788391,2016
19,3128,157.0,-1.2501879930496216,2016
38,3137,75.0,-2.431180715560913,2016
51,3138,42.0,-0.6218083500862122,2016
17,3139,82.0,-1.790124535560608,2016
5,3140,55.0,0.16334998607635498,2016
12,3148,86.0,-1.2912434339523315,2016
17,3151,83.0,-2.1489944458007812,2016
17,3160,79.0,-2.305140256881714,2016
6,3161,98.0,0.031001728028059006,2016
6,3173,72.0,-0.07813259959220886,2016
5,3176,46.0,-0.12636704742908478,2016
51,3177,58.0,-0.6700124144554138,2016
36,3206,36.0,-0.36028948426246643,2016
23,3215,34.0,-1.9036924839019775,2016
27,3220,31.0,-3.051492929458618,2016
5,3221,41.0,0.630264937877655,2016
19,3411,40.0,0.4735831022262573,2016
51,3412,23.0,0.4009382128715515,2016
17,3413,52.0,0.4797588288784027,2016
6,3417,28.0,0.943035364151001,2016
12,3418,39.0,0.5846466422080994,2016
6,3527,60.0,0.13689874112606049,2016
38,3562,44.0,-0.35792645812034607,2016
23,3564,11.0,-0.1505417823791504,2016
23,3641,18.0,-1.055463194847107,2016
38,3672,5.0,2.2423806190490723,2016
12,3677,56.0,-1.6585246324539185,2016
36,3683,12.0,2.000056266784668,2016
38,3844,13.0,1.1942120790481567,2016
17,3851,26.0,0.7344540357589722,2016
6,3932,40.0,0.5552623271942139,2016
27,3936,7.0,5.776937007904053,2016
36,3947,29.0,0.8444525003433228,2016
28,3949,26.0,0.9548099637031555,2016
17,4056,34.0,0.9760684967041016,2016
17,4068,47.0,-0.5007686614990234,2016
12,4082,72.0,0.026926476508378983,2016
23,4087,60.0,0.2355809062719345,2016
51,4104,29.0,0.07695746421813965,2016
17,4144,11.0,0.7266206741333008,2016
38,4278,16.0,-0.3723750710487366,2016
38,4304,23.0,1.2120317220687866,2016
36,4375,45.0,0.19940930604934692,2016
19,4399,12.0,1.9640147686004639,2016
23,4407,15.0,0.3547942340373993,2016
28,4408,25.0,0.7540476322174072,2016
6,4415,58.0,0.041542645543813705,2016
36,4418,38.0,0.8825404644012451,2016
12,4503,76.0,0.12390701472759247,2016
36,4535,18.0,0.35907071828842163,2016
6,4585,111.0,0.2670709192752838,2016
5,4679,74.0,-0.17347608506679535,2016
12,4720,60.0,-0.0389462448656559,2016
23,4721,37.0,1.0932949781417847,2016
36,4913,1.0,,2016
36,4940,1.0,,2016
5,4959,33.0,-0.2922840118408203,2016
36,4966,4.0,-5.556723117828369,2016
38,5073,14.0,-0.3236621022224426,2016
27,5075,26.0,-0.8477270007133484,2016
6,5117,49.0,-0.08247450739145279,2016
5,5133,44.0,0.2520841956138611,2016
12,5206,79.0,-0.20902711153030396,2016
36,5221,46.0,0.0010549866128712893,2016
38,5228,27.0,-1.507457971572876,2016
6,5277,75.0,0.28679952025413513,2016
6,5283,41.0,-0.1413193643093109,2016
12,5345,155.0,-0.9046772122383118,2016
28,5496,33.0,1.2072845697402954,2016
38,5613,13.0,0.10589835047721863,2016
6,5623,81.0,-0.5683135986328125,2016
36,5734,14.0,-0.1457868069410324,2016
23,5741,22.0,0.5857520699501038,2016
28,5742,21.0,-0.8561083674430847,2016
27,5781,13.0,-4.512210369110107,2016
38,5845,19.0,0.9544450044631958,2016
12,5909,103.0,0.006579828914254904,2016
12,5920,67.0,-0.5922190546989441,2016
38,5962,4.0,4.149113655090332,2016
23,5963,15.0,-0.7917671799659729,2016
19,5966,21.0,0.6530209183692932,2016
19,6063,70.0,-0.6502721905708313,2016
5,6113,48.0,-0.3267119228839874,2016
3501,6181,33.0,-0.012598002329468727,2016
36,6182,9.0,-0.6827972531318665,2016
36,6397,53.0,-0.05181790143251419,2016
28,6398,21.0,-0.9870120882987976,2016
19,6411,22.0,-0.9494484066963196,2016
6,6425,0.0,,2016
6,6483,59.0,0.6133829355239868,2016
36,6485,33.0,0.13241955637931824,2016
19,6486,14.0,1.515009880065918,2016
28,6487,8.0,4.442575931549072,2016
23,6489,59.0,0.4381575286388397,2016
17,6490,39.0,0.756722092628479,2016
51,6495,3.0,12.09289264678955,2016
12,6496,230.0,-0.5141541957855225,2016
5,6497,50.0,0.6228218674659729,2016
38,6573,0.0,,2016
6,6583,25.0,-0.19443517923355103,2016
38,6623,39.0,0.18554911017417908,2016
36,6631,5.0,0.19026318192481995,2016
12,6711,77.0,-0.8016811609268188,2016
36,6737,18.0,-0.5655847787857056,2016
17,6806,5.0,-2.174010753631592,2016
5,6807,25.0,-0.7389106750488281,2016
36,6817,22.0,-0.6064953804016113,2016
23,6848,11.0,0.2636219561100006,2016
27,6981,12.0,-0.7881117463111877,2016
12,7105,73.0,-0.02927391603589058,2016
6,7195,86.0,-0.2903369963169098,2016
19,7196,32.0,-1.2084085941314697,2016
5,7210,22.0,0.06901445239782333,2016
6,7269,16.0,2.398451328277588,2016
5,7278,37.0,-1.6351951360702515,2016
6,7399,95.0,-0.6938446164131165,2016
17,7403,13.0,-1.0751714706420898,2016
12,7414,46.0,-2.671682357788086,2016
6,7415,27.0,-1.7059940099716187,2016
36,7419,9.0,-2.4142496585845947,2016
38,7452,13.0,0.026564033702015877,2016
23,7491,25.0,0.4747951924800873,2016
6,7492,116.0,-0.1852920949459076,2016
38,7504,36.0,-0.09130822122097015,2016
38,7526,22.0,-2.2049832344055176,2016
23,7571,15.0,-2.8686776161193848,2016
38,7638,14.0,-0.01422292459756136,2016
12,7676,91.0,-0.5378087162971497,2016
36,7677,23.0,1.8556255102157593,2016
12,7705,97.0,0.21523429453372955,2016
27,7712,13.0,-0.1359284669160843,2016
