area,ies,Ncursos,municipio,N,idd,cpc,cpcf,ano
1,83,1,4202305,61,2.3568224906921387,3.0660488605499268,4,2012
1,83,1,4208203,232,2.380962610244751,2.9042844772338867,3,2012
1,83,2,4216602,14,-15.573719024658203,1.5872474908828735,2,2012
1,83,1,4218004,62,2.7441558837890625,2.722860813140869,3,2012
1,87,1,4202909,111,,2.3625082969665527,3,2012
1,95,1,2312908,88,2.837116003036499,2.5667107105255127,3,2012
1,107,1,3162500,132,0.8361854553222656,3.3568661212921143,4,2012
1,109,1,3502101,45,0.643500804901123,2.5665855407714844,3,2012
1,124,1,3503208,83,-3.175340414047241,2.1847331523895264,3,2012
1,125,2,3503307,41,-2.1021194458007812,2.574087619781494,3,2012
1,135,2,3505906,109,-2.550225257873535,2.8845572471618652,3,2012
1,137,2,3506003,77,-2.4418540000915527,2.36938738822937,3,2012
1,138,1,3543402,23,-2.9264025688171387,2.0864617824554443,3,2012
1,139,1,3170107,56,-2.073878049850464,1.7710907459259033,2,2012
1,140,1,3302700,41,-0.5519101619720459,2.0236587524414062,3,2012
1,140,1,3306206,52,4.843894004821777,3.000901699066162,4,2012
1,142,1,3170206,72,1.8412113189697266,2.678706645965576,3,2012
1,143,2,3170107,1035,-2.7599220275878906,1.7756531238555908,2,2012
1,143,1,3170206,57,0.6135462522506714,2.035601854324341,3,2012
1,146,2,3549805,163,4.07906436920166,3.03513765335083,4,2012
1,150,1,3552205,145,-2.096200704574585,2.342697858810425,3,2012
1,151,3,3550308,432,-6.9840850830078125,3.0662028789520264,4,2012
1,159,1,2604106,115,-2.14292049407959,2.0640792846679688,3,2012
1,160,1,2611606,168,-1.9722895622253418,2.0353214740753174,3,2012
1,161,1,3550308,171,-1.2530648708343506,2.2948789596557617,3,2012
1,163,1,3300704,34,-3.701857805252075,2.229835033416748,3,2012
1,163,1,3301009,29,-4.076894760131836,2.1769771575927734,3,2012
1,163,1,3301702,35,-2.160780668258667,2.482717752456665,3,2012
1,163,1,3302403,71,-3.309694290161133,2.335021495819092,3,2012
1,163,1,3303302,93,-6.841189861297607,1.9232594966888428,2,2012
1,163,1,3303401,19,4.5982584953308105,3.2158987522125244,4,2012
1,163,1,3303500,100,-5.025693893432617,2.1693570613861084,3,2012
1,163,1,3303906,37,0.040039777755737305,2.542477607727051,3,2012
1,163,1,3304144,38,-2.630894660949707,2.2148025035858154,3,2012
1,163,1,3304201,27,-0.5434665679931641,2.4113776683807373,3,2012
1,163,16,3304557,1046,-5.1764678955078125,2.245419502258301,3,2012
1,163,1,3304904,71,-5.166394233703613,1.9988422393798828,3,2012
1,163,1,3305109,60,-1.9091426134109497,2.4318740367889404,3,2012
1,165,1,3300704,32,5.456756114959717,3.549206256866455,4,2012
1,165,1,3304557,77,1.336080551147461,3.29374098777771,4,2012
1,166,1,3159605,135,2.1152942180633545,2.6069931983947754,3,2012
1,167,2,3548708,823,-3.6969003677368164,2.335153818130493,3,2012
1,170,1,3530508,26,-5.205885410308838,1.8148161172866821,2,2012
1,176,4,3304557,1619,-5.281347751617432,2.0529260635375977,3,2012
1,191,1,3304557,54,-2.3509085178375244,2.239964008331299,3,2012
1,195,1,3304557,95,1.72617769241333,2.773742437362671,3,2012
1,197,1,4106902,120,-7.800448417663574,1.4309598207473755,2,2012
1,198,11,3304557,534,-7.461508750915527,1.4877588748931885,2,2012
1,202,1,3304557,40,-5.260229587554932,1.6915754079818726,2,2012
1,203,2,3550308,790,-0.9416324496269226,2.5066514015197754,3,2012
1,206,1,3550308,283,-1.2802984714508057,2.4974467754364014,3,2012
1,207,1,3524303,8,,,SC,2012
1,207,1,3543402,142,5.931813716888428,3.254906177520752,4,2012
1,208,1,3518701,51,-2.311906576156616,2.3530540466308594,3,2012
1,208,2,3543402,57,1.4358816146850586,3.374001979827881,4,2012
1,213,1,3550308,288,7.612086772918701,3.7348272800445557,4,2012
1,215,1,3547809,109,-4.626891613006592,2.4780664443969727,3,2012
1,216,2,3106200,112,3.4352643489837646,2.714916944503784,3,2012
1,217,1,3549102,51,-3.3360910415649414,2.266277551651001,3,2012
1,219,1,3531407,69,-1.2167274951934814,2.080531358718872,3,2012
1,220,1,3304557,34,-1.828556776046753,2.1874701976776123,3,2012
1,221,4,3550308,482,-6.423642158508301,2.395590305328369,3,2012
1,222,1,3557105,25,17.38996124267578,4.946878433227539,5,2012
1,225,1,3547809,46,-0.6914253234863281,2.1453421115875244,3,2012
1,226,1,3548500,28,-1.3099448680877686,1.8860710859298706,2,2012
1,227,1,3548500,135,-0.36329686641693115,2.5000922679901123,3,2012
1,231,2,3548708,98,-4.477598667144775,2.266570806503296,3,2012
1,234,1,3550308,47,2.4186718463897705,2.5804059505462646,3,2012
1,242,1,3547809,306,-1.3792459964752197,2.560075044631958,3,2012
1,244,4,3534401,314,-1.7547366619110107,2.15171480178833,3,2012
1,254,1,3550308,21,,2.1268138885498047,3,2012
1,263,1,3550308,44,-0.343481183052063,2.183990955352783,3,2012
1,265,1,3534708,58,5.9866838455200195,3.499189853668213,4,2012
1,266,3,3538709,167,-5.171830654144287,2.2873878479003906,3,2012
1,267,1,3205309,48,12.541372299194336,3.928523302078247,4,2012
1,269,1,3555000,95,1.4465755224227905,2.6545135974884033,3,2012
1,271,1,3541406,121,-2.0313973426818848,2.695405960083008,3,2012
1,275,1,3509700,28,6.612359046936035,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,275,1,3549904,96,-3.8899364471435547,2.2485198974609375,3,2012
1,277,4,3304557,550,-4.768160820007324,2.0510895252227783,3,2012
1,278,1,3304557,269,-2.648555278778076,2.547758102416992,3,2012
1,294,1,4321808,120,1.6135252714157104,2.5941390991210938,3,2012
1,295,1,4304630,31,8.006978034973145,3.3527863025665283,4,2012
1,295,1,4312401,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,295,1,4316808,120,3.867546558380127,3.302330732345581,4,2012
1,295,1,4320701,6,,2.086169958114624,3,2012
1,295,1,4322608,50,-1.901338815689087,2.4701180458068848,3,2012
1,296,1,4300406,30,-0.09134566783905029,2.4568533897399902,3,2012
1,296,1,4301602,50,-6.434228897094727,1.707403302192688,2,2012
1,296,1,4302808,16,-3.285957098007202,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,296,1,4306601,14,-3.8472070693969727,1.9233088493347168,2,2012
1,296,1,4317103,11,7.164823532104492,2.7769663333892822,3,2012
1,296,1,4318002,14,,,SC,2012
1,296,1,4318309,15,9.960237503051758,3.3859164714813232,4,2012
1,298,2,4101507,118,3.944645881652832,3.0168240070343018,4,2012
1,298,1,4102406,40,3.2909646034240723,2.9212968349456787,3,2012
1,298,3,4113700,5421,-3.306365489959717,2.4473373889923096,3,2012
1,299,1,4112108,46,0.6506166458129883,2.506056070327759,3,2012
1,302,2,3122306,61,1.4332249164581299,2.209482192993164,3,2012
1,308,1,3103504,118,2.7803361415863037,2.739964723587036,3,2012
1,308,1,3105608,78,-6.9341230392456055,1.3617968559265137,2,2012
1,308,1,3136702,43,-5.74902868270874,1.6313682794570923,2,2012
1,316,6,3550308,1576,-4.528136730194092,2.6198530197143555,3,2012
1,319,1,3513702,47,-0.40390026569366455,2.31746768951416,3,2012
1,319,1,3515509,48,-5.82498836517334,1.6482796669006348,2,2012
1,319,1,3550308,135,0.44324278831481934,2.091017484664917,3,2012
1,322,1,1302603,32,11.548837661743164,3.8637807369232178,4,2012
1,322,1,3502804,32,9.847407341003418,3.8246452808380127,4,2012
1,322,1,3503208,87,10.688733100891113,3.827460289001465,4,2012
1,322,1,3504008,23,12.776815414428711,4.018970012664795,5,2012
1,322,1,3506003,29,0.3411917984485626,2.5637271404266357,3,2012
1,322,2,3509502,83,15.132678985595703,4.023174285888672,5,2012
1,322,1,3525904,14,13.814906120300293,4.270391464233398,5,2012
1,322,1,3526902,18,12.121831893920898,4.08791971206665,5,2012
1,322,2,3543402,53,11.58209228515625,4.134945392608643,5,2012
1,322,2,3547304,82,2.436952829360962,2.7284610271453857,3,2012
1,322,2,3548500,67,11.135610580444336,3.941112995147705,4,2012
1,322,1,3549706,39,9.161283493041992,3.585371255874634,4,2012
1,322,1,3549805,65,11.603988647460938,4.090360164642334,5,2012
1,322,2,3549904,115,12.159656524658203,4.052671909332275,5,2012
1,322,13,3550308,1035,6.642486572265625,3.3544199466705322,4,2012
1,322,1,3552205,72,10.644533157348633,3.8827602863311768,4,2012
1,322,1,5208707,15,12.320465087890625,3.9842567443847656,5,2012
1,322,1,5300108,60,11.637617111206055,3.853543519973755,4,2012
1,330,1,3302205,17,-6.560785293579102,2.2485435009002686,3,2012
1,330,1,3303500,26,-3.377462863922119,2.420905590057373,3,2012
1,336,1,3136702,94,-3.122607707977295,1.7552151679992676,2,2012
1,338,1,3104205,69,4.263270854949951,3.2249419689178467,4,2012
1,338,5,3106200,487,-4.814058303833008,2.3546814918518066,3,2012
1,338,1,3106705,90,4.357107162475586,3.2338571548461914,4,2012
1,338,1,3118601,191,-5.5780463218688965,1.9254510402679443,2,2012
1,338,1,3128006,37,8.304769515991211,3.46000075340271,4,2012
1,338,1,3151800,142,4.627157211303711,3.5605509281158447,4,2012
1,343,4,3106200,163,1.425645351409912,2.4656503200531006,3,2012
1,344,3,3106200,221,-3.075627565383911,2.598489999771118,3,2012
1,346,1,3526902,69,-0.8741552829742432,2.2216689586639404,3,2012
1,349,2,3106200,125,-0.7020208835601807,2.856074333190918,3,2012
1,352,1,2507507,31,-5.950732231140137,2.6336381435394287,3,2012
1,355,1,4106902,66,-5.377277374267578,1.496458888053894,2,2012
1,360,1,3550308,0,,,SC,2012
1,363,1,3550308,21,,,SC,2012
1,367,1,3108602,0,,,SC,2012
1,367,1,3143302,71,6.919163703918457,2.9904329776763916,4,2012
1,374,4,3550308,573,-6.362813472747803,1.5366328954696655,2,2012
1,375,2,3550308,847,-2.822861671447754,1.953320860862732,3,2012
1,376,7,3550308,224,-7.407413005828857,2.1880855560302734,3,2012
1,383,1,1500800,95,-0.39885538816452026,2.4321537017822266,3,2012
1,383,1,1501402,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,384,1,5201108,78,5.058311939239502,3.2875289916992188,4,2012
1,385,1,2910800,61,-0.9039176106452942,2.8089137077331543,3,2012
1,385,2,2927408,200,-0.16990268230438232,2.9707369804382324,4,2012
1,386,1,5208707,53,1.2596726417541504,2.467440605163574,3,2012
1,387,2,5002704,83,-1.6929247379302979,2.660100221633911,3,2012
1,396,2,2927408,111,4.458192825317383,2.9348247051239014,3,2012
1,398,2,2800308,219,0.7125816345214844,2.7837331295013428,3,2012
1,398,1,2802106,52,5.783421039581299,2.898226261138916,3,2012
1,398,1,2802908,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,398,1,2805703,46,-1.4200236797332764,2.4289650917053223,3,2012
1,402,1,5300108,158,-4.426186561584473,2.3718416690826416,3,2012
1,403,2,5300108,359,1.0701675415039062,2.8984215259552,3,2012
1,404,1,5300108,302,0.3330669403076172,2.3759255409240723,3,2012
1,405,1,2609600,32,-1.069068431854248,3.010528802871704,4,2012
1,409,2,2606002,58,-1.320549726486206,2.185777425765991,3,2012
1,409,1,2611606,158,-1.8527841567993164,2.491575241088867,3,2012
1,410,1,2611606,42,-8.943232536315918,1.7079213857650757,2,2012
1,416,4,3550308,178,,1.6853411197662354,2,2012
1,417,2,3550308,414,-4.910490989685059,2.372265100479126,3,2012
1,420,1,3529005,87,4.542568206787109,3.0833778381347656,4,2012
1,421,1,4104303,45,1.2958388328552246,2.4461472034454346,3,2012
1,423,2,4307005,109,1.0503469705581665,2.5318548679351807,3,2012
1,423,2,4308508,72,4.607439994812012,3.1175692081451416,4,2012
1,423,1,4317400,46,0.6414008140563965,2.3170394897460938,3,2012
1,423,1,4317509,63,3.301509141921997,2.5786516666412354,3,2012
1,423,1,4318903,45,1.7514665126800537,2.2739059925079346,3,2012
1,426,1,4316907,108,-0.42288780212402344,2.7563319206237793,3,2012
1,430,1,4113700,68,1.5364468097686768,3.183832883834839,4,2012
1,432,1,4122404,58,1.404937982559204,2.7644290924072266,3,2012
1,434,1,3550308,30,1.4165141582489014,2.365772247314453,3,2012
1,437,1,4104808,64,4.054152488708496,3.030820608139038,4,2012
1,437,1,4105508,0,,,Unidade com cursos não reconhecidos até 22/11/2013,2012
1,437,1,4108403,47,6.014205455780029,3.2241289615631104,4,2012
1,437,1,4108809,43,1.77154541015625,2.9011082649230957,3,2012
1,437,1,4118402,42,0.5887227058410645,2.7161900997161865,3,2012
1,437,1,4127700,58,8.117351531982422,3.5171077251434326,4,2012
