area,ies,municipio,Ncursos,N,idd,cpc,cpcf,ano
5,1,5103403,1,67,14.725852966308594,3.2870867252349854,4,2013
5,1,5107909,1,85,11.75003433227539,2.7737905979156494,3,2013
5,2,5300108,1,46,13.738204956054688,3.258805990219116,4,2013
5,3,2806701,1,0,,,,2013
5,5,2201903,1,74,16.981603622436523,3.2545504570007324,4,2013
5,5,2211001,1,62,11.721881866455078,2.9104771614074707,3,2013
5,8,3171303,1,98,12.23483657836914,3.495483875274658,4,2013
5,9,4113700,1,91,12.636550903320312,3.2539126873016357,4,2013
5,10,4125506,1,48,10.909339904785156,2.82857608795166,3,2013
5,10,4127700,1,28,16.149337768554688,2.958841323852539,4,2013
5,13,4305108,1,0,,,,2013
5,17,3170206,1,76,12.594478607177734,3.3658394813537598,4,2013
5,20,4314100,1,116,13.81303596496582,2.845931053161621,3,2013
5,21,4322400,1,14,,,SC,2013
5,24,2913606,1,58,13.118038177490234,2.931842565536499,3,2013
5,27,3169307,1,7,18.33381462097168,3.0225579738616943,4,2013
5,29,2304400,1,36,13.531852722167969,3.136676788330078,4,2013
5,30,3101607,1,50,5.3792877197265625,1.8556565046310425,2,2013
5,43,4209300,1,53,16.738265991210938,3.460733413696289,4,2013
5,56,3502804,1,40,17.200469970703125,4.044128894805908,5,2013
5,56,3507506,1,47,12.789756774902344,3.6632890701293945,4,2013
5,56,3524303,1,49,15.210491180419922,3.935079336166382,4,2013
5,57,4128104,1,37,12.124008178710938,2.9338111877441406,3,2013
5,76,4202404,1,32,13.125965118408203,2.5632405281066895,3,2013
5,82,4219507,1,53,13.144147872924805,2.375200033187866,3,2013
5,138,3543402,1,10,10.8465576171875,2.937455892562866,3,2013
5,140,3306206,1,42,8.257362365722656,1.95561945438385,3,2013
5,142,3170206,1,0,,,,2013
5,143,3170107,1,112,6.700954437255859,1.9211667776107788,2,2013
5,146,3549805,1,58,9.961742401123047,2.6738224029541016,3,2013
5,150,3552205,1,0,,,,2013
5,163,3304557,1,50,11.677383422851562,2.698960304260254,3,2013
5,167,3548708,1,42,10.268430709838867,2.5856261253356934,3,2013
5,176,3304557,1,49,7.697010040283203,1.6083849668502808,2,2013
5,207,3543402,1,25,14.827690124511719,3.5706419944763184,4,2013
5,221,3550308,1,29,11.256973266601562,3.1536896228790283,4,2013
5,265,3534708,1,15,13.277481079101562,3.054015636444092,4,2013
5,271,3541406,1,46,11.448720932006836,2.737618923187256,3,2013
5,296,4300406,1,40,10.284286499023438,1.7966032028198242,2,2013
5,296,4301602,1,53,11.834266662597656,2.1870439052581787,3,2013
5,298,4101507,1,25,20.51436996459961,3.8951873779296875,4,2013
5,298,4113700,1,0,,,,2013
5,308,3136702,1,53,8.799383163452148,1.942725658416748,2,2013
5,319,3513702,1,29,14.720935821533203,3.0625810623168945,4,2013
5,319,3515509,1,58,14.328544616699219,2.709672451019287,3,2013
5,322,3506003,1,23,18.36235809326172,3.466792345046997,4,2013
5,322,3509502,1,30,18.37540054321289,3.3923003673553467,4,2013
5,322,3549904,1,37,20.45113754272461,3.752959728240967,4,2013
5,322,3550308,1,20,13.943431854248047,3.0238430500030518,4,2013
5,330,3302205,1,23,10.349706649780273,2.7114479541778564,3,2013
5,338,3106705,1,137,15.446361541748047,2.989790439605713,4,2013
5,338,3151800,1,80,13.200393676757812,2.89813494682312,3,2013
5,353,4106902,1,68,13.593124389648438,2.3827152252197266,3,2013
5,355,4106902,1,41,17.217647552490234,3.407296895980835,4,2013
5,374,3550308,1,125,13.726005554199219,2.981182098388672,4,2013
5,375,3550308,1,26,13.154125213623047,2.914684295654297,3,2013
5,387,5002704,1,33,11.85676383972168,2.5492165088653564,3,2013
5,404,5300108,1,38,12.658954620361328,2.5258028507232666,3,2013
5,420,3529005,1,56,13.206390380859375,3.266059398651123,4,2013
5,430,4113700,1,8,18.726707458496094,,,2013
5,437,4128104,1,32,13.915172576904297,2.731067419052124,3,2013
5,439,3524105,1,36,19.618141174316406,3.8100316524505615,4,2013
5,441,4203808,1,61,18.29629135131836,3.509122133255005,4,2013
5,446,4306106,1,44,12.675355911254883,2.790227174758911,3,2013
5,448,4314902,1,0,,,,2013
5,449,4304606,1,96,9.638757705688477,2.322056770324707,3,2013
5,450,1100122,1,40,11.585939407348633,1.9003524780273438,2,2013
5,457,3547809,1,45,9.251415252685547,1.9435361623764038,2,2013
5,457,3548708,1,32,10.222749710083008,2.051737070083618,3,2013
5,466,3550308,1,134,11.359455108642578,2.7659502029418945,3,2013
5,472,3301702,1,40,10.666715621948242,2.6516857147216797,3,2013
5,480,3305802,1,33,8.302349090576172,2.24037766456604,3,2013
5,481,3518800,1,31,13.650001525878906,2.427114248275757,3,2013
5,490,3306107,1,28,16.83867645263672,3.3331801891326904,4,2013
5,494,4202800,1,0,,,SC,2013
5,495,3507605,1,30,8.118768692016602,1.5815744400024414,2,2013
5,496,3516200,1,29,15.356975555419922,3.2963571548461914,4,2013
5,502,3548500,1,22,11.27979850769043,2.409874200820923,3,2013
5,514,3300407,1,0,,,SC,2013
5,515,3301900,1,67,6.502071380615234,1.7028948068618774,2,2013
5,532,4310207,1,47,15.58119010925293,3.0842278003692627,4,2013
5,549,1200401,1,20,17.07683563232422,,,2013
5,568,2105302,1,47,8.281328201293945,,,2013
5,568,2111300,1,62,13.933834075927734,2.958595037460327,4,2013
5,569,1502400,1,25,7.583518981933594,2.571188449859619,3,2013
5,571,4106902,1,51,15.330120086669922,3.786285638809204,4,2013
5,571,4117909,1,72,14.055618286132812,3.2819113731384277,4,2013
5,572,3303302,1,46,6.991310119628906,2.6543209552764893,3,2013
5,573,3200201,1,27,14.95119857788086,3.3640658855438232,4,2013
5,574,3305554,1,112,16.1087646484375,3.6039764881134033,4,2013
5,575,3106200,1,150,10.446601867675781,3.1897666454315186,4,2013
5,577,2709400,1,18,,,,2013
5,578,2927408,1,108,3.9453582763671875,1.4942203760147095,2,2013
5,579,2501104,1,9,12.725292205810547,3.2393300533294678,4,2013
5,581,4314902,1,72,16.479049682617188,3.6967365741729736,4,2013
5,582,4316907,1,101,13.518577575683594,3.3155627250671387,4,2013
5,584,5208707,1,121,11.415367126464844,3.1401448249816895,4,2013
5,584,5211909,1,9,12.564342498779297,2.817967653274536,3,2013
5,585,4204806,1,0,,,,2013
5,587,2606002,1,58,13.814266204833984,,,2013
5,587,2611606,1,80,-1.9726066589355469,1.8339052200317383,2,2013
5,589,2408003,1,12,7.997631072998047,2.6284432411193848,3,2013
5,590,1501402,1,59,6.518802642822266,2.138486862182617,3,2013
5,592,3138203,1,117,13.245864868164062,3.610663890838623,4,2013
5,621,2704302,1,57,11.080923080444336,2.388556480407715,3,2013
5,634,4304663,1,20,7.483928680419922,2.614703893661499,3,2013
