ies,siglies,orgacad,catadm,curso,area,modalidade,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
76,FURB,Universidade,Pública Municipal,3672,38,Educação Presencial,4202404,14,14,3.547121745,3,0.214285714,5.905704702,4.106820781,5,2018
76,FURB,Universidade,Pública Municipal,3679,67,Educação Presencial,4202404,2,2,5.0,2,1.0,11.03378994,4.335760258,5,2018
76,FURB,Universidade,Pública Municipal,3685,18,Educação Presencial,4202404,60,59,2.106851897,36,0.610169492,-1.74721186,2.059077698,3,2018
80,UNIDAVI,Centro Universitário,Privada sem fins lucrativos,3776,1,Educação Presencial,4214805,83,67,2.16420781,50,0.746268657,-0.104528979,2.908974628,3,2018
80,UNIDAVI,Centro Universitário,Privada sem fins lucrativos,3777,22,Educação Presencial,4214805,43,41,3.533857612,35,0.853658537,2.577270296,3.660984248,4,2018
81,UNIVILLE,Universidade,Privada sem fins lucrativos,3797,1,Educação Presencial,4209102,121,109,2.495985998,75,0.688073394,-0.312877933,2.491118506,3,2018
81,UNIVILLE,Universidade,Privada sem fins lucrativos,3798,22,Educação Presencial,4209102,56,52,2.154730618,35,0.673076923,-0.038011034,2.021217361,3,2018
81,UNIVILLE,Universidade,Privada sem fins lucrativos,3800,13,Educação Presencial,4209102,27,21,0.41237637,17,0.80952381,-2.902481001,1.530899697,2,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3825,1,Educação Presencial,4209003,47,44,2.707187118,36,0.818181818,0.707382318,2.901647702,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3826,22,Educação Presencial,4209003,35,34,3.765324505,31,0.911764706,2.556163892,3.489836654,4,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3828,2,Educação Presencial,4209003,127,119,2.925470096,90,0.756302521,0.358554959,2.896377162,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3831,22,Educação Presencial,4219309,41,38,3.086438414,32,0.842105263,0.929447593,2.881782174,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3833,1,Educação Presencial,4219309,55,53,1.924746372,38,0.716981132,-1.018475704,2.376575445,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3835,2,Educação Presencial,4219309,57,49,2.613588074,27,0.551020408,1.003819333,2.879525463,3,2018
3151,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,3836,1,Educação Presencial,4204202,38,32,2.538084347,26,0.8125,0.593118091,2.996819879,4,2018
3151,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,3837,22,Educação Presencial,4204202,56,50,1.670603668,42,0.84,-0.423915489,2.594935512,3,2018
3151,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,3840,2,Educação Presencial,4204202,144,131,2.096511412,98,0.748091603,0.012789868,2.911802792,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3841,1,Educação Presencial,4217204,51,49,3.145174913,44,0.897959184,0.875398725,2.793517156,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3842,22,Educação Presencial,4219507,27,26,2.384087357,18,0.692307692,0.391726338,2.899469967,3,2018
3151,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,3844,38,Educação Presencial,4204202,18,14,2.652345132,7,0.5,2.4341862,3.808178938,4,2018
3151,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,3856,13,Educação Presencial,4204202,9,7,1.174366884,5,0.714285714,0.131044093,2.534355152,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3860,18,Educação Presencial,4209003,35,34,1.900503414,27,0.794117647,-0.022208545,2.837212956,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3861,22,Educação Presencial,4217204,62,61,2.396577567,53,0.868852459,0.324738016,2.585817893,3,2018
82,UNOESC,Universidade,Privada sem fins lucrativos,3862,1,Educação Presencial,4203600,21,19,2.486789917,15,0.789473684,1.273512922,2.840340318,3,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3926,2,Educação Presencial,4208203,394,354,2.316772813,229,0.646892655,-0.177302494,2.732493721,3,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3927,1,Educação Presencial,4208203,206,184,2.73682782,115,0.625,0.154620381,2.655452612,3,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3929,22,Educação Presencial,4208203,114,104,3.17907093,76,0.730769231,1.070960506,2.902557346,3,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3934,29,Educação Presencial,4202008,16,15,2.616984116,10,0.666666667,1.749387692,3.010875393,4,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3940,2,Educação Presencial,4202305,65,54,3.063379362,42,0.777777778,1.21372237,2.98768557,4,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3941,22,Educação Presencial,4202305,42,42,2.865647558,33,0.785714286,0.794538441,2.900920332,3,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3942,1,Educação Presencial,4202305,62,57,3.241156129,46,0.807017544,0.661563361,3.118170918,4,2018
83,UNIVALI,Universidade,Privada sem fins lucrativos,3946,1,Educação Presencial,4218004,48,43,3.302989234,32,0.744186047,1.689176408,3.217321373,4,2018
5671,0,Centro Universitário,Privada sem fins lucrativos,4028,22,Educação Presencial,3302205,27,25,1.487622701,12,0.48,-1.747651629,2.403137577,3,2018
3974,FESURV,Universidade,Pública Municipal,4072,1,Educação Presencial,5218805,39,37,2.532580553,19,0.513513514,0.433297961,2.633459375,3,2018
3974,FESURV,Universidade,Pública Municipal,4073,22,Educação Presencial,5218805,21,14,2.853779319,7,0.5,7.057006833,3.655218079,4,2018
3974,FESURV,Universidade,Pública Municipal,4075,2,Educação Presencial,5218805,234,224,1.105964087,140,0.625,-0.011582587,2.202158755,3,2018
95,UVA,Universidade,Pública Estadual,4086,22,Educação Presencial,2312908,224,165,2.293056963,136,0.824242424,-0.012012048,2.233139865,3,2018
95,UVA,Universidade,Pública Estadual,4102,1,Educação Presencial,2312908,148,124,3.318379827,95,0.766129032,0.143523639,2.575400231,3,2018
3972,CESEP,Faculdade,Privada sem fins lucrativos,4146,22,Educação Presencial,3139003,38,38,2.130828787,22,0.578947368,0.054852794,2.454787252,3,2018
99,FDCL,Faculdade,Privada sem fins lucrativos,4148,2,Educação Presencial,3118304,190,154,1.973251791,108,0.701298701,-0.359342361,1.852767273,2,2018
1575,UNIARAXÁ,Centro Universitário,Privada sem fins lucrativos,4161,22,Educação Presencial,3104007,43,43,3.355698877,27,0.627906977,2.165171414,3.641355583,4,2018
1575,UNIARAXÁ,Centro Universitário,Privada sem fins lucrativos,4163,2,Educação Presencial,3104007,72,71,2.451409662,43,0.605633803,0.218421405,3.300960486,4,2018
107,UFSJ,Universidade,Pública Federal,4190,1,Educação Presencial,3162500,87,78,4.169525607,76,0.974358974,0.353436276,3.554694183,4,2018
107,UFSJ,Universidade,Pública Federal,4191,13,Educação Presencial,3162500,79,71,2.288894029,69,0.971830986,-0.332531523,3.197057441,4,2018
107,UFSJ,Universidade,Pública Federal,4197,18,Educação Presencial,3162500,94,88,4.388080029,83,0.943181818,0.136190544,3.634666748,4,2018
109,FIRB,Faculdade,Privada com fins lucrativos,4225,22,Educação Presencial,3502101,12,9,2.410614436,8,0.888888889,1.157538785,2.590631238,3,2018
109,FIRB,Faculdade,Privada com fins lucrativos,4226,1,Educação Presencial,3502101,67,44,1.669093701,26,0.590909091,-0.926959914,2.178118391,3,2018
4962,UNIFEMM,Centro Universitário,Privada sem fins lucrativos,4238,2,Educação Presencial,3167202,194,125,2.846556856,96,0.768,0.323935194,2.827470638,3,2018
997,0,Centro Universitário,Privada sem fins lucrativos,4272,22,Educação Presencial,3506003,34,32,3.055795776,12,0.375,2.44775974,2.965574773,4,2018
997,0,Centro Universitário,Privada sem fins lucrativos,4273,1,Educação Presencial,3506003,37,29,2.760345694,17,0.586206897,-0.071692161,2.683372066,3,2018
997,0,Centro Universitário,Privada sem fins lucrativos,4274,13,Educação Presencial,3506003,25,10,1.256506581,5,0.5,0.835794918,2.228555635,3,2018
997,0,Centro Universitário,Privada sem fins lucrativos,4278,38,Educação Presencial,3506003,32,30,2.67727181,19,0.633333333,0.120521635,2.749376584,3,2018
997,0,Centro Universitário,Privada sem fins lucrativos,4280,2,Educação Presencial,3506003,231,220,2.917899663,176,0.8,0.075559859,3.01812454,4,2018
1841,TOLEDO PRUDENTE,Centro Universitário,Privada sem fins lucrativos,4296,1,Educação Presencial,3541406,57,54,2.845071987,36,0.666666667,0.236829659,3.027601423,4,2018
1841,TOLEDO PRUDENTE,Centro Universitário,Privada sem fins lucrativos,4297,22,Educação Presencial,3541406,31,29,4.262821789,16,0.551724138,5.398198457,4.039843167,5,2018
1841,TOLEDO PRUDENTE,Centro Universitário,Privada sem fins lucrativos,4302,2,Educação Presencial,3541406,292,267,3.564513124,204,0.764044944,0.407550469,3.332216602,4,2018
1841,TOLEDO PRUDENTE,Centro Universitário,Privada sem fins lucrativos,4304,38,Educação Presencial,3541406,28,24,2.46109906,10,0.416666667,1.057159631,3.2849488,4,2018
124,UNIARA,Universidade,Privada sem fins lucrativos,4310,1,Educação Presencial,3503208,91,73,2.479600516,53,0.726027397,0.164796795,2.594857195,3,2018
124,UNIARA,Universidade,Privada sem fins lucrativos,4311,13,Educação Presencial,3503208,33,25,1.49124994,21,0.84,-0.430115528,2.649326221,3,2018
124,UNIARA,Universidade,Privada sem fins lucrativos,4313,2,Educação Presencial,3503208,205,199,1.730996327,139,0.698492462,-0.356225455,2.208879486,3,2018
5312,0,Centro Universitário,Privada com fins lucrativos,4343,1,Educação Presencial,3504107,79,57,3.365688339,38,0.666666667,0.751960059,2.940991652,3,2018
5312,0,Centro Universitário,Privada com fins lucrativos,4344,22,Educação Presencial,3504107,50,35,3.335397681,24,0.685714286,0.710257461,2.965312555,4,2018
5394,FENORD,Faculdade,Privada sem fins lucrativos,4359,2,Educação Presencial,3168606,51,49,3.150026738,42,0.857142857,1.099402114,3.040368449,4,2018
137,USC,Universidade,Privada sem fins lucrativos,4403,18,Educação Presencial,3506003,97,96,3.502249113,81,0.84375,0.691959428,3.464776347,4,2018
139,FCETM,Faculdade,Privada sem fins lucrativos,4489,1,Educação Presencial,3170107,29,19,1.44842534,7,0.368421053,-3.806610031,2.415854763,3,2018
139,FCETM,Faculdade,Privada sem fins lucrativos,4491,22,Educação Presencial,3170107,10,7,1.832187814,3,0.428571429,-4.48046794,2.496984304,3,2018
141,FADIVA,Faculdade,Privada sem fins lucrativos,4532,2,Educação Presencial,3170701,198,195,2.378270103,159,0.815384615,-0.195799568,2.182076519,3,2018
142,UNITRI,Centro Universitário,Privada sem fins lucrativos,4541,1,Educação Presencial,3170206,15,14,1.465360387,7,0.5,-5.511748494,1.657479945,2,2018
142,UNITRI,Centro Universitário,Privada sem fins lucrativos,4546,22,Educação Presencial,3170206,17,14,1.349227404,7,0.5,-4.122347765,2.012648807,3,2018
142,UNITRI,Centro Universitário,Privada sem fins lucrativos,4548,2,Educação Presencial,3170206,124,116,2.024693411,59,0.50862069,-0.679202177,2.540798367,3,2018
143,UNIUBE,Universidade,Privada sem fins lucrativos,4594,2,Educação Presencial,3170107,364,332,1.657318481,239,0.719879518,-0.261142066,2.312195858,3,2018
143,UNIUBE,Universidade,Privada sem fins lucrativos,4599,1,Educação Presencial,3170107,78,70,2.536709944,44,0.628571429,-0.150884404,2.454283704,3,2018
146,UNIRP,Centro Universitário,Privada com fins lucrativos,4672,2,Educação Presencial,3549805,389,365,2.272462991,200,0.547945205,-0.019164963,2.372616799,3,2018
1129,UNORP,Centro Universitário,Privada sem fins lucrativos,4699,1,Educação Presencial,3549805,26,24,1.663493615,18,0.75,-1.560650736,2.318334536,3,2018
1129,UNORP,Centro Universitário,Privada sem fins lucrativos,4701,2,Educação Presencial,3549805,33,32,1.71272808,19,0.59375,-0.784928814,2.50188591,3,2018
150,UNISO,Universidade,Privada sem fins lucrativos,4725,22,Educação Presencial,3552205,59,57,1.962361996,37,0.649122807,-0.383186002,2.517780294,3,2018
150,UNISO,Universidade,Privada sem fins lucrativos,4726,13,Educação Presencial,3552205,15,11,1.618539818,10,0.909090909,-0.038373303,2.558276425,3,2018
150,UNISO,Universidade,Privada sem fins lucrativos,4735,2,Educação Presencial,3552205,165,146,1.707398216,98,0.671232877,-0.211716296,2.541219235,3,2018
152,FACIC,Faculdade,Privada sem fins lucrativos,4760,22,Educação Presencial,2927408,190,168,1.63266569,102,0.607142857,0.227531417,2.409514965,3,2018
160,FAFIRE,Faculdade,Privada sem fins lucrativos,4851,18,Educação Presencial,2611606,102,102,2.342904108,70,0.68627451,-0.105025957,2.422819488,3,2018
161,UNIFAI,Centro Universitário,Privada sem fins lucrativos,4869,22,Educação Presencial,3550308,11,9,1.44752026,2,0.222222222,-6.361131734,1.798905682,2,2018
161,UNIFAI,Centro Universitário,Privada sem fins lucrativos,4870,1,Educação Presencial,3550308,27,26,1.840999728,2,0.076923077,0.0,2.310162424,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4912,18,Educação Presencial,3304557,122,105,1.504090984,48,0.457142857,-0.863773527,2.507276798,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4918,1,Educação Presencial,3304557,68,63,2.175621398,40,0.634920635,-0.122982729,2.654716917,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4923,2,Educação Presencial,3304557,93,86,2.092709743,47,0.546511628,-0.219690378,2.658502328,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4926,29,Educação Presencial,3304557,85,77,2.500195414,43,0.558441558,-0.190271732,2.433770756,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4933,18,Educação Presencial,3304557,106,94,1.637329792,37,0.393617021,-0.876145602,2.239491757,3,2018
163,UNESA,Universidade,Privada com fins lucrativos,4946,1,Educação Presencial,3304557,94,71,2.59194908,34,0.478873239,-0.186572092,2.709294872,3,2018
