ies,curso,area,municipio,N,fracN,idd,cpc,cpcf,ano
2,112818,23,5300108,50.0,0.8064516186714172,0.4364325702190399,3.6526117912088365,4,2016
2,1192419,27,5300108,11.0,0.9166666865348816,2.2354578971862793,3.8676019383139124,4,2016
2,144,28,5300108,35.0,0.7142857313156128,0.6106974482536316,3.388114980781255,4,2016
2,112796,36,5300108,40.0,0.7272727489471436,0.3802289068698883,3.6194017683476725,4,2016
2,126,38,5300108,54.0,0.8571428656578064,0.315228134393692,3.469384168370251,4,2016
2,1138344,38,5300108,35.0,0.7291666865348816,-1.4282047748565674,3.1205083181963538,4,2016
2,1192413,3501,5300108,24.0,0.6486486196517944,0.4748080372810364,3.4171854139474007,4,2016
3,1108067,5,2806701,30.0,0.7317073345184326,0.19910886883735657,3.226920899666003,4,2016
3,304,6,2800308,38.0,0.8260869383811951,-0.40195491909980774,2.8063270068850916,3,2016
3,303,12,2800308,39.0,0.7358490824699402,0.3087589740753174,3.090408488524966,4,2016
3,319,17,2806701,4.0,0.1666666716337204,,3.326163703766219,4,2016
3,98609,19,2806701,54.0,0.7714285850524902,0.22518324851989746,3.2025153559093558,4,2016
3,1108154,19,2803500,23.0,0.8846153616905212,-0.39209291338920593,3.0234996181436307,4,2016
3,302,23,2800308,63.0,0.9264705777168274,-1.3015692234039307,2.7313922611639776,3,2016
3,1108149,23,2803500,31.0,0.8857142925262451,1.862106204032898,3.6296468950038974,4,2016
3,99413,27,2800308,29.0,0.8285714387893677,-2.2994866371154785,2.1474129364154755,3,2016
3,1108170,27,2803500,30.0,1.0,-0.20362089574337006,2.8060994185612538,3,2016
3,99404,28,2806701,39.0,0.9069767594337463,0.0855976790189743,3.311508271459639,4,2016
3,1108158,28,2803500,22.0,1.0,1.9639334678649902,3.5639309872998877,4,2016
3,99411,36,2800308,40.0,0.8510638475418091,0.38204342126846313,3.110562147164542,4,2016
3,1108163,36,2803500,29.0,0.8787878751754761,0.5530705451965332,3.3556905859393447,4,2016
3,64064,38,2806701,45.0,0.692307710647583,-1.9850550889968872,2.7219117086210565,3,2016
3,94033,51,2806701,21.0,0.5249999761581421,1.0110540390014648,3.121594153468729,4,2016
3,99423,3501,2806701,8.0,0.4444444477558136,-2.2194840908050537,2.496068442659012,3,2016
4,391,6,1302603,18.0,0.782608687877655,1.3630249500274658,3.8232668203642657,4,2016
4,389,12,1302603,34.0,0.9714285731315613,-0.14204999804496765,2.5341470930326873,3,2016
4,399,17,1302603,9.0,0.6000000238418579,2.2993617057800293,3.332579471953088,4,2016
4,101620,17,1301704,2.0,0.13333334028720856,,1.795959821045159,2,2016
4,390,19,1302603,27.0,0.9642857313156128,0.04211623966693878,2.951380712889493,4,2016
4,112090,19,1301902,7.0,0.3181818127632141,-2.091614246368408,2.4111732138034143,3,2016
4,2133,23,1302603,29.0,0.7837837934494019,0.40322479605674744,3.2109282555016416,4,2016
4,101653,23,1301209,16.0,0.761904776096344,0.21094642579555511,2.467719161890876,3,2016
4,101645,28,1301209,4.0,0.6666666865348816,-3.710531711578369,1.4515161829881427,2,2016
4,101651,36,1301209,11.0,0.7333333492279053,-1.0323705673217773,2.027815485439186,3,2016
4,112290,36,1302603,19.0,0.9047619104385376,0.5035048127174377,3.023489245463623,4,2016
4,377,38,1302603,76.0,0.9047619104385376,0.2048547863960266,2.934563067633288,3,2016
4,112098,38,1303403,6.0,0.75,-1.591511845588684,2.26511469339962,3,2016
4,65424,51,1302603,6.0,1.0,4.704154968261719,3.860037046360237,4,2016
4,112108,51,1303403,8.0,0.5714285969734192,-1.868101716041565,1.8115069607252163,2,2016
4,104364,3501,1302603,11.0,0.9166666865348816,2.0515694618225098,3.4275645345811254,4,2016
4,104366,3501,1302603,11.0,0.7333333492279053,1.0173945426940918,3.058322005900531,4,2016
5,504,5,2211001,41.0,0.7884615659713745,-0.03541848063468933,3.0991144115908162,4,2016
5,102675,5,2201903,21.0,0.7241379022598267,-0.37740474939346313,2.569924111708044,3,2016
5,485,6,2211001,46.0,0.9387755393981934,0.31344738602638245,3.36570418873792,4,2016
5,484,12,2211001,43.0,0.9555555582046509,-0.7101283073425293,2.7981749602671213,3,2016
