ies,orgacad,catadm,curso,area,municipio,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano,adm
10,Universidade,Privada,19312,1,4115200,25,24,3.522388458251953,15.0,0.625,2.34035587310791,3.35993211684844,4,2015,priv
10,Universidade,Privada,21596,1,4106902,214,183,3.154971122741699,118.0,0.6448087692260742,-1.3530546426773071,2.6792771756186156,3,2015,priv
10,Universidade,Privada,49548,1,4113700,49,43,3.4790890216827393,26.0,0.604651153087616,0.7016778588294983,2.8838878356596886,3,2015,priv
10,Universidade,Privada,60114,1,4127700,31,28,2.827240467071533,22.0,0.7857142686843872,0.06397772580385208,2.4659660865547806,3,2015,priv
11,Universidade,Privada,960,1,2611606,212,188,2.3271870613098145,138.0,0.7340425252914429,-0.7408763766288757,2.627680729748384,3,2015,priv
11,Universidade,Privada,29332,1,2611606,9,4,2.6012542247772217,,,,3.05813081692756,4,2015,priv
12,Universidade,Federal,1028,1,4315602,28,24,4.522136688232422,15.0,0.625,3.5193660259246826,3.8627768558323106,4,2015,pub
13,Universidade,Privada,31041,1,4305108,620,468,2.1249947547912598,94.0,0.20085470378398895,0.2519102990627289,2.680285351139034,3,2015,priv
13,Universidade,Privada,32252,1,4322509,48,39,2.2181966304779053,12.0,0.3076923191547394,-0.9492921829223633,2.5676475496589486,3,2015,priv
13,Universidade,Privada,34655,1,4307906,72,63,2.658679962158203,12.0,0.190476194024086,,2.8155754856835804,3,2015,priv
13,Universidade,Privada,40435,1,4304408,76,57,2.492689371109009,11.0,0.19298245012760162,,2.7281606589690703,3,2015,priv
13,Universidade,Privada,40604,1,4313300,73,68,1.7381901741027832,19.0,0.27941176295280457,-0.5208539366722107,2.5353374628155603,3,2015,priv
13,Universidade,Privada,40943,1,4302105,115,90,2.1569550037384033,19.0,0.21111111342906952,-0.37533795833587646,2.6147520908886617,3,2015,priv
13,Universidade,Privada,42313,1,4319505,103,91,2.173579216003418,20.0,0.21978022158145905,0.04102246090769768,2.64538337389352,3,2015,priv
13,Universidade,Privada,68237,1,4309407,48,45,1.4026143550872803,21.0,0.46666666865348816,-1.6114305257797241,2.179982884880988,3,2015,priv
13,Universidade,Privada,106910,1,4305108,106,92,2.2308454513549805,34.0,0.3695652186870575,-0.06496811658143997,2.5352787946248565,3,2015,priv
13,Universidade,Privada,106912,1,4302105,53,48,2.565195083618164,24.0,0.5,-0.5873072743415833,2.498523610695589,3,2015,priv
14,Universidade,Privada,96103,1,4318705,418,360,2.656838893890381,139.0,0.3861111104488373,-0.6733967065811157,2.686004212024688,3,2015,priv
14,Universidade,Privada,1115208,1,4318705,129,118,2.910426616668701,24.0,0.20338982343673706,0.10572682321071625,2.9450540903822437,4,2015,priv
14,Universidade,Privada,5000722,1,4314902,2,1,,,,,,SC,2015,priv
15,Universidade,Privada,1312,1,3303906,41,25,3.4898934364318848,14.0,0.5600000023841858,1.370209813117981,2.714046850444611,3,2015,priv
17,Universidade,Federal,1442,1,3170206,384,343,4.008528232574463,210.0,0.6122449040412903,-0.822914719581604,3.067507138861281,4,2015,pub
17,Universidade,Federal,103016,1,3134202,34,34,3.0708389282226562,33.0,0.970588207244873,-0.10275799036026001,2.9437301386849173,3,2015,pub
18,Universidade,Privada,1517,1,4314407,65,63,2.132732391357422,44.0,0.6984127163887024,-1.195738673210144,2.4563881113469197,3,2015,priv
19,Universidade,Privada,1654,1,3509502,746,576,2.148571491241455,341.0,0.5920138955116272,-0.1614900380373001,2.4010623833836577,3,2015,priv
19,Universidade,Privada,1164641,1,3509502,12,12,2.986314296722412,10.0,0.8333333134651184,1.268761396408081,2.965721780570611,4,2015,priv
20,Universidade,Privada,1729,1,4314100,192,132,1.97853684425354,70.0,0.5303030014038086,-0.0037391011137515306,2.3953357384738716,3,2015,priv
20,Universidade,Privada,1752,1,4304705,65,55,1.8167717456817627,24.0,0.4363636374473572,-0.8109961152076721,2.005220742097079,3,2015,priv
20,Universidade,Privada,1767,1,4313706,10,5,0.6682801246643066,4.0,0.800000011920929,-4.048464298248291,1.3631471635395964,2,2015,priv
20,Universidade,Privada,1770,1,4304903,55,49,2.369680881500244,33.0,0.6734693646430969,-0.016014339402318,2.278274335788831,3,2015,priv
20,Universidade,Privada,1773,1,4311304,17,13,2.6909615993499756,7.0,0.5384615659713745,1.2380746603012085,2.5593498255262386,3,2015,priv
20,Universidade,Privada,1774,1,4320800,55,46,1.555534839630127,32.0,0.695652186870575,-1.2735408544540405,1.9435385413980593,2,2015,priv
20,Universidade,Privada,73086,1,4320107,52,45,2.0204946994781494,30.0,0.6666666865348816,-0.46118250489234924,2.0935051231755275,3,2015,priv
21,Universidade,Privada,1889,1,4314902,19,10,3.178659200668335,,,,3.2469552854525427,4,2015,priv
21,Universidade,Privada,57240,1,4314902,2,1,,,,,,SC,2015,priv
21,Universidade,Privada,57242,1,4314902,2,0,,,,,,SC,2015,priv
21,Universidade,Privada,88923,1,4314902,676,578,2.682368040084839,331.0,0.5726643800735474,-0.023353399708867073,2.859438091061216,3,2015,priv
22,Universidade,Privada,31055,1,3505708,108,94,3.5328726768493652,45.0,0.478723406791687,0.9232602119445801,3.1110356872467317,4,2015,priv
22,Universidade,Privada,68048,1,3550308,826,768,3.0792396068573,465.0,0.60546875,-0.2150603085756302,2.9539330934285157,4,2015,priv
22,Universidade,Privada,108112,1,3509502,39,36,3.4430429935455322,17.0,0.4722222089767456,1.3652782440185547,3.3009273024898143,4,2015,priv
23,Universidade,Privada,34666,1,4313409,409,276,2.5401692390441895,58.0,0.21014492213726044,-0.34655091166496277,2.7013689576078677,3,2015,priv
24,Universidade,Estadual,2104,1,2913606,109,96,3.069977283477783,78.0,0.8125,-0.06540518999099731,2.6753624902122364,3,2015,pub
27,Universidade,Privada,2139,1,3169307,13,12,4.094829082489014,11.0,0.9166666865348816,3.2395741939544678,3.4950854884570703,4,2015,priv
29,Universidade,Estadual,29354,1,2304400,150,114,4.083083629608154,49.0,0.429824560880661,0.1834004521369934,2.8396135275935785,3,2015,pub
30,Universidade,Privada,2305,1,3101607,80,69,2.516988754272461,55.0,0.7971014380455017,0.12722468376159668,2.3766209407340044,3,2015,priv
30,Universidade,Privada,54340,1,3106200,41,37,3.220585823059082,22.0,0.5945945978164673,2.000593900680542,3.007612748337467,4,2015,priv
40,Universidade,Estadual,18664,1,2927408,79,65,3.8802742958068848,41.0,0.6307692527770996,0.18625009059906006,2.8363581374392512,3,2015,pub
40,Universidade,Estadual,20580,1,2928703,27,27,3.3847579956054688,24.0,0.8888888955116272,-0.18095636367797852,,Curso não reconhecido até 31/12/2015,2015,pub
40,Universidade,Estadual,34341,1,2928703,7,5,2.3833694458007812,1.0,0.20000000298023224,,,Curso não reconhecido até 31/12/2015,2015,pub
40,Universidade,Estadual,39297,1,2928703,14,11,1.7583414316177368,8.0,0.7272727489471436,-3.1785974502563477,,Curso não reconhecido até 31/12/2015,2015,pub
40,Universidade,Estadual,68567,1,2930501,54,47,2.2018964290618896,41.0,0.8723404407501221,-0.870778501033783,,Curso não reconhecido até 31/12/2015,2015,pub
40,Universidade,Estadual,91799,1,2911709,38,36,2.7214131355285645,31.0,0.8611111044883728,0.21943488717079163,,Curso não reconhecido até 31/12/2015,2015,pub
40,Universidade,Estadual,91814,1,2903904,72,69,1.864653468132019,49.0,0.7101449370384216,-0.5487648248672485,,Curso não reconhecido até 31/12/2015,2015,pub
43,Universidade,Estadual,2532,1,4205407,116,107,4.929511070251465,69.0,0.644859790802002,1.2216752767562866,3.8582700898542006,4,2015,pub
47,Universidade,Estadual,2620,1,5201108,33,29,3.55509614944458,13.0,0.4482758641242981,2.219998598098755,2.894945978350644,3,2015,pub
47,Universidade,Estadual,21871,1,5204508,46,44,2.3696365356445312,22.0,0.5,-0.9915558695793152,2.1605704635192424,3,2015,pub
47,Universidade,Estadual,21896,1,5219308,25,20,1.7682899236679077,11.0,0.550000011920929,-1.9685570001602173,1.7511938629311279,2,2015,pub
47,Universidade,Estadual,92687,1,5220603,34,30,1.8963890075683594,15.0,0.5,0.1254676878452301,2.147283191614939,3,2015,pub
47,Universidade,Estadual,92693,1,5219001,25,22,3.06471848487854,17.0,0.7727272510528564,1.049182653427124,2.3530306632899256,3,2015,pub
47,Universidade,Estadual,92761,1,5212501,38,31,2.306957721710205,21.0,0.6774193644523621,-0.7926691770553589,2.407671085621396,3,2015,pub
47,Universidade,Estadual,94270,1,5208608,43,41,2.835373878479004,29.0,0.707317054271698,0.1473790556192398,2.2678873185025816,3,2015,pub
47,Universidade,Estadual,1148015,1,5201405,18,16,3.998548984527588,11.0,0.6875,2.301574945449829,,Curso não reconhecido até 31/12/2015,2015,pub
54,Universidade,Estadual,122964,1,3526902,65,50,3.178957939147949,48.0,0.9599999785423279,-4.024233818054199,,Curso não reconhecido até 31/12/2015,2015,pub
54,Universidade,Estadual,122966,1,3526902,55,45,2.760690927505493,41.0,0.9111111164093018,-5.2068400382995605,,Curso não reconhecido até 31/12/2015,2015,pub
54,Universidade,Estadual,122970,1,3526902,39,39,2.204542636871338,30.0,0.7692307829856873,-5.3289103507995605,,Curso não reconhecido até 31/12/2015,2015,pub
54,Universidade,Estadual,1297373,1,3509502,88,73,2.629211664199829,,,,,Curso não reconhecido até 31/12/2015,2015,pub
56,Universidade,Estadual,73420,1,3555000,122,111,3.557312488555908,93.0,0.837837815284729,-0.04237198457121849,3.3994830150662514,4,2015,pub
56,Universidade,Estadual,85430,1,3524303,76,62,3.9698824882507324,17.0,0.27419355511665344,2.4136407375335693,3.8366635868830734,4,2015,pub
57,Universidade,Estadual,3393,1,4115200,123,107,3.6066880226135254,67.0,0.6261682510375977,-1.319257140159607,2.647248721664365,3,2015,pub
60,Centro Universitário,Estadual,3488,1,3516200,175,161,1.7598603963851929,108.0,0.6708074808120728,-0.7757887840270996,2.333523009164713,3,2015,pub
67,Faculdade,Estadual,18066,1,3538709,48,23,2.6073031425476074,16.0,0.695652186870575,0.05992143601179123,3.0657179214005152,4,2015,pub
