area,nomarea,ies,nomies,ca,curso,N,enade,ce,ano
1,ADMINISTRAÇÃO,1045,CENTRO UNIVERSITÁRIO ANHANGÜERA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52753,39,2.685427138,3,2018
1,ADMINISTRAÇÃO,3515,FACULDADES INTEGRADAS DA VITÓRIA DE SANTO ANTÃO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,52779,26,1.098561761,2,2018
1,ADMINISTRAÇÃO,568,UNIVERSIDADE ESTADUAL DO MARANHÃO,Pessoa Jurídica de Direito Público - Estadual,52785,44,3.142577458,4,2018
1,ADMINISTRAÇÃO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,52829,32,2.405758785,3,2018
18,PSICOLOGIA,3,UNIVERSIDADE FEDERAL DE SERGIPE,Pessoa Jurídica de Direito Público - Federal,52852,50,3.584100178,4,2018
2,DIREITO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,52863,48,2.160128754,3,2018
22,CIÊNCIAS CONTÁBEIS,1066,INSTITUTO DE ENSINO E PESQUISA OBJETIVO,Privada com fins lucrativos,52876,9,1.292142719,2,2018
1,ADMINISTRAÇÃO,1573,FACULDADE ALFREDO NASSER,Privada sem fins lucrativos,52901,45,1.98591293,3,2018
2,DIREITO,1396,Centro Universitário Dinâmica das Cataratas,Privada com fins lucrativos,52904,133,1.844117603,2,2018
2,DIREITO,1107,Centro Universitário Estácio do Ceará,Privada com fins lucrativos,52906,980,2.136877145,3,2018
1,ADMINISTRAÇÃO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,52908,81,2.503526885,3,2018
2,DIREITO,1658,FACULDADE INTEGRADA DA GRANDE FORTALEZA,Privada com fins lucrativos,52910,181,2.33985344,3,2018
2,DIREITO,1273,Centro Universitário Campo Limpo Paulista,Privada com fins lucrativos,52912,61,2.247246549,3,2018
2,DIREITO,1423,Faculdade Ideal Wyden,Privada com fins lucrativos,52914,144,2.458719361,3,2018
2,DIREITO,4826,FACULDADE ANHANGÜERA DE CAMPINAS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,52917,88,1.71947252,2,2018
2,DIREITO,1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,Privada sem fins lucrativos,52919,89,1.963996175,3,2018
2,DIREITO,1910,FACULDADE UNINASSAU LAURO DE FREITAS,Privada com fins lucrativos,52921,111,1.492880798,2,2018
2,DIREITO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,52929,52,2.159353536,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,Privada com fins lucrativos,52957,15,2.299923743,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,Privada com fins lucrativos,52958,20,2.553405219,3,2018
1,ADMINISTRAÇÃO,2122,Estácio FASE - Faculdade Estácio de Sergipe,Privada com fins lucrativos,52975,103,2.003275123,3,2018
1,ADMINISTRAÇÃO,2123,CENTRO UNIVERSITÁRIO MAX PLANCK,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,52987,66,3.16990787,4,2018
2,DIREITO,398,UNIVERSIDADE TIRADENTES,Privada com fins lucrativos,53027,63,1.875804334,2,2018
2,DIREITO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,53037,69,2.430798043,3,2018
2,DIREITO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,53045,86,1.787227141,2,2018
22,CIÊNCIAS CONTÁBEIS,2168,FACULDADE CAMPO GRANDE,Privada com fins lucrativos,53156,1,,SC,2018
1,ADMINISTRAÇÃO,1984,FACULDADE DE CIÊNCIAS GERENCIAIS DE MANHUAÇU,Privada com fins lucrativos,53190,18,3.392537307,4,2018
1,ADMINISTRAÇÃO,1469,FACULDADE CESUSC,Privada com fins lucrativos,53205,28,3.852465275,4,2018
1,ADMINISTRAÇÃO,1362,FACULDADE UBAENSE OZANAM COELHO,Privada com fins lucrativos,53290,27,2.592560225,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2085,CENTRO UNIVERSITÁRIO DE SALVADOR,Privada com fins lucrativos,53295,0,,SC,2018
1,ADMINISTRAÇÃO,2085,CENTRO UNIVERSITÁRIO DE SALVADOR,Privada com fins lucrativos,53296,6,2.967414678,4,2018
2,DIREITO,396,Centro Universitário Ruy Barbosa Wyden,Privada com fins lucrativos,53335,170,2.320941311,3,2018
2,DIREITO,1556,CENTRO UNIVERSITÁRIO SETE DE SETEMBRO,Privada com fins lucrativos,53340,145,3.561538138,4,2018
2,DIREITO,267,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,Privada sem fins lucrativos,53344,31,4.675126916,5,2018
2,DIREITO,1717,Faculdade de Imperatriz Wyden,Privada com fins lucrativos,53347,122,1.533089131,2,2018
2,DIREITO,1068,FACULDADE ALDETE MARIA ALVES,Privada sem fins lucrativos,53349,51,2.05576769,3,2018
1,ADMINISTRAÇÃO,1952,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA,Privada com fins lucrativos,53352,25,3.608785987,4,2018
2,DIREITO,1075,INSTITUTO DE EDUCAÇÃO SUPERIOR DA PARAÍBA,Privada com fins lucrativos,53353,225,1.857757291,2,2018
18,PSICOLOGIA,1379,FACULDADES INTEGRADAS SÃO PEDRO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53367,119,2.622622508,3,2018
18,PSICOLOGIA,23,UNIVERSIDADE FEEVALE,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53370,84,2.369037024,3,2018
1,ADMINISTRAÇÃO,1530,Faculdade CNEC Joinville,Privada sem fins lucrativos,53374,75,2.240192253,3,2018
2,DIREITO,1381,Faculdade Martha Falcão Wyden,Privada com fins lucrativos,53382,145,2.505947291,3,2018
101,TEOLOGIA,1365,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53411,95,3.679382234,4,2018
2,DIREITO,5215,CENTRO UNIVERSITÁRIO PADRE ALBINO,Privada sem fins lucrativos,53424,94,3.448081287,4,2018
1,ADMINISTRAÇÃO,1173,FACULDADE ANHANGUERA DE BRASÍLIA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53463,24,2.395003445,3,2018
1,ADMINISTRAÇÃO,452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,Privada com fins lucrativos,53486,11,3.542246799,4,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1173,FACULDADE ANHANGUERA DE BRASÍLIA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53490,0,,SC,2018
1,ADMINISTRAÇÃO,2233,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53493,114,2.72250277,3,2018
2,DIREITO,705,FACULDADE SÃO JOSÉ,Privada sem fins lucrativos,53511,104,2.206219591,3,2018
1,ADMINISTRAÇÃO,592,UNIVERSIDADE FEDERAL DE LAVRAS,Pessoa Jurídica de Direito Público - Federal,53522,98,4.779563983,5,2018
2,DIREITO,1805,CENTRO UNIVERSITÁRIO DOS GUARARAPES,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53531,220,1.729406299,2,2018
1,ADMINISTRAÇÃO,2257,FACULDADE DIADEMA,Privada com fins lucrativos,53554,38,1.300645682,2,2018
2,DIREITO,1728,FACULDADE INTERAMERICANA DE PORTO VELHO,Privada com fins lucrativos,53562,143,1.922979831,2,2018
18,PSICOLOGIA,5285,FACULDADES INTEGRADAS DE TAQUARA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,53574,41,2.822826682,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2264,FACULDADE DE COMUNICAÇÃO PITÁGORAS UNIDADE GUARAPARI,Privada com fins lucrativos,53582,12,3.267906024,4,2018
1,ADMINISTRAÇÃO,2266,FACULDADE CAMBURY DE FORMOSA,Privada com fins lucrativos,53589,9,2.429369706,3,2018
22,CIÊNCIAS CONTÁBEIS,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,Pessoa Jurídica de Direito Público - Estadual,53596,62,2.917293882,3,2018
18,PSICOLOGIA,3840,CENTRO UNIVERSITÁRIO FACVEST,Privada com fins lucrativos,53628,12,2.151195131,3,2018
2,DIREITO,2275,FACULDADE DE DIREITO SANTO AGOSTINHO,Privada com fins lucrativos,53635,312,2.099222669,3,2018
2,DIREITO,3612,FACULDADE ANHANGUERA DE VALINHOS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53646,42,1.250050321,2,2018
22,CIÊNCIAS CONTÁBEIS,1699,FACULDADE DE EDUCAÇÃO DE JARU,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,53892,29,1.922460053,2,2018
1,ADMINISTRAÇÃO,1503,FACULDADE DOUTOR LEOCÁDIO JOSÉ CORREIA,Privada sem fins lucrativos,53894,30,2.275922341,3,2018
22,CIÊNCIAS CONTÁBEIS,2085,CENTRO UNIVERSITÁRIO DE SALVADOR,Privada com fins lucrativos,53896,0,,SC,2018
1,ADMINISTRAÇÃO,1996,INSTITUTO CUIABÁ DE ENSINO E CULTURA,Privada com fins lucrativos,53900,27,1.867986744,2,2018
22,CIÊNCIAS CONTÁBEIS,1996,INSTITUTO CUIABÁ DE ENSINO E CULTURA,Privada com fins lucrativos,53910,39,1.814130778,2,2018
2,DIREITO,2343,FACULDADE DA AMAZÔNIA OCIDENTAL,Privada com fins lucrativos,54042,115,2.699975198,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,756,UNIVERSIDADE ESTADUAL DO PIAUÍ,Pessoa Jurídica de Direito Público - Estadual,54075,12,3.359985216,4,2018
2,DIREITO,4793,FACULDADES INTEGRADAS DE ITARARÉ,Privada com fins lucrativos,54080,12,1.81940664,2,2018
2,DIREITO,798,FACULDADES INTEGRADAS DE ARACRUZ,Privada sem fins lucrativos,54082,19,4.042298415,5,2018
1,ADMINISTRAÇÃO,2380,Faculdade Estácio do Amapá - Estácio Amapá,Privada com fins lucrativos,54112,75,2.310130707,3,2018
26,DESIGN,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,Pessoa Jurídica de Direito Público - Estadual,54162,21,3.050099065,4,2018
26,DESIGN,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,Pessoa Jurídica de Direito Público - Estadual,54163,26,3.398411812,4,2018
2,DIREITO,1598,FACULDADE UNA DE UBERLÂNDIA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54164,72,2.514877001,3,2018
1,ADMINISTRAÇÃO,2437,FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS,Privada com fins lucrativos,54228,32,2.909376598,3,2018
1,ADMINISTRAÇÃO,2459,FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ,Privada com fins lucrativos,54262,22,2.504657634,3,2018
22,CIÊNCIAS CONTÁBEIS,2459,FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ,Privada com fins lucrativos,54266,34,2.231856767,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2459,FACULDADE DE ESTUDOS AVANÇADOS DO PARÁ,Privada com fins lucrativos,54270,5,3.392824019,4,2018
1,ADMINISTRAÇÃO,2460,FACULDADE ESTÁCIO DE NATAL,Privada com fins lucrativos,54296,31,2.541423432,3,2018
2,DIREITO,2465,FACULDADE IBMEC SÃO PAULO,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54304,149,2.679701819,3,2018
101,TEOLOGIA,2468,INSTITUTO TEOLÓGICO FRANCISCANO,Privada sem fins lucrativos,54306,5,2.681134339,3,2018
38,SERVIÇO SOCIAL,2469,INSTITUTO MACAPAENSE DE ENSINO SUPERIOR,Privada com fins lucrativos,54308,17,2.624595948,3,2018
1,ADMINISTRAÇÃO,2469,INSTITUTO MACAPAENSE DE ENSINO SUPERIOR,Privada com fins lucrativos,54310,10,1.357453877,2,2018
38,SERVIÇO SOCIAL,2186,FACULDADE SALESIANA DOM BOSCO,Privada sem fins lucrativos,54330,25,1.632454903,2,2018
1,ADMINISTRAÇÃO,30,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,54340,11,2.588625738,3,2018
101,TEOLOGIA,2485,FACULDADE CATÓLICA DE FORTALEZA,Privada sem fins lucrativos,54352,78,2.915257604,3,2018
18,PSICOLOGIA,140,UNIVERSIDADE DE VASSOURAS,Privada sem fins lucrativos,54437,60,1.873753484,2,2018
2,DIREITO,167,UNIVERSIDADE METODISTA DE SÃO PAULO,Privada sem fins lucrativos,54441,129,1.7076515,2,2018
2,DIREITO,1493,CENTRO UNIVERSITÁRIO ALVES FARIA,Privada com fins lucrativos,54446,203,2.85585329,3,2018
22,CIÊNCIAS CONTÁBEIS,2257,FACULDADE DIADEMA,Privada com fins lucrativos,54458,0,,SC,2018
101,TEOLOGIA,337,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,Privada sem fins lucrativos,54460,35,2.462150969,3,2018
101,TEOLOGIA,2135,CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,54549,8,1.820230359,2,2018
1,ADMINISTRAÇÃO,2184,FACULDADE CNEC GRAVATAÍ,Privada sem fins lucrativos,54552,42,2.599302913,3,2018
1,ADMINISTRAÇÃO,2147,Centro Universitário CEUNI - FAMETRO,Privada com fins lucrativos,54602,265,2.236968442,3,2018
29,TURISMO,2147,Centro Universitário CEUNI - FAMETRO,Privada com fins lucrativos,54605,58,2.654165095,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1775,Centro Universitário Favip Wyden,Privada com fins lucrativos,54614,36,2.290162969,3,2018
18,PSICOLOGIA,1734,Faculdade Integral Diferencial Wyden,Privada com fins lucrativos,54620,86,1.902927561,2,2018
2,DIREITO,1697,FACULDADE ESCRITOR OSMAN DA COSTA LINS,Privada sem fins lucrativos,54622,238,1.718186627,2,2018
18,PSICOLOGIA,1498,INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA,Privada com fins lucrativos,54624,17,1.779868906,2,2018
1,ADMINISTRAÇÃO,5303,FACULDADE ANHANGÜERA DE DOURADOS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54656,7,2.115733191,3,2018
2,DIREITO,1244,FACULDADE BRASILEIRA,Privada com fins lucrativos,54686,50,3.376736896,4,2018
2,DIREITO,1540,INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,54688,85,2.224098633,3,2018
1,ADMINISTRAÇÃO,18874,FACULDADE RAIMUNDO MARINHO DE PENEDO,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,54694,19,1.23793143,2,2018
18,PSICOLOGIA,669,UNIVERSIDADE NILTON LINS,Privada sem fins lucrativos,54735,84,1.01018984,2,2018
1,ADMINISTRAÇÃO,2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54738,6,3.138243167,4,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,2560,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54743,15,3.920568742,4,2018
18,PSICOLOGIA,1077,Centro Universitário Estácio do Recife,Privada com fins lucrativos,54770,155,0.555637713,1,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1612,Faculdade Assis Gurgacz,Privada sem fins lucrativos,54794,2,0.0,1,2018
2,DIREITO,1032,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,Privada sem fins lucrativos,54795,30,2.652021351,3,2018
1,ADMINISTRAÇÃO,449,UNIVERSIDADE LUTERANA DO BRASIL,Privada com fins lucrativos,54820,29,3.365110793,4,2018
2,DIREITO,1510,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,Privada com fins lucrativos,54828,162,2.128932859,3,2018
2,DIREITO,1599,CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES,Privada com fins lucrativos,54830,101,2.787273297,3,2018
2,DIREITO,1514,FACULDADE VALE DO CRICARÉ,Privada com fins lucrativos,54834,200,1.781053671,2,2018
2,DIREITO,1563,CENTRO UNIVERSITÁRIO UNINOVAFAPI,Privada com fins lucrativos,54836,132,2.654991352,3,2018
2,DIREITO,898,CENTRO UNIVERSITÁRIO SANTA RITA,Privada sem fins lucrativos,54838,23,1.411314755,2,2018
1,ADMINISTRAÇÃO,2568,FACULDADE ZACARIAS DE GÓES,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,54842,53,1.070402896,2,2018
2,DIREITO,1545,FACULDADE DE BOITUVA,Privada com fins lucrativos,54846,52,1.178508462,2,2018
1,ADMINISTRAÇÃO,2572,"FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS",Privada com fins lucrativos,54864,11,1.303263009,2,2018
101,TEOLOGIA,2573,FACULDADE TEOLÓGICA SUL AMERICANA,Privada sem fins lucrativos,54866,22,2.788421591,3,2018
101,TEOLOGIA,2001,SEMINÁRIO ADVENTISTA LATINO-AMERICANO DE TEOLOGIA,Privada sem fins lucrativos,54869,88,2.748968255,3,2018
1,ADMINISTRAÇÃO,2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,Privada sem fins lucrativos,54908,29,2.433341988,3,2018
22,CIÊNCIAS CONTÁBEIS,2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,Privada sem fins lucrativos,54909,19,3.030418677,4,2018
101,TEOLOGIA,2141,FACULDADES BATISTA DO PARANÁ,Privada sem fins lucrativos,54913,45,2.939938511,3,2018
1,ADMINISTRAÇÃO,715,FAE CENTRO UNIVERSITÁRIO,Privada sem fins lucrativos,54928,53,3.170148179,4,2018
2,DIREITO,2579,CENTRO UNIVERSITÁRIO ATENAS,Privada com fins lucrativos,54938,68,2.597439819,3,2018
2,DIREITO,1070,FACULDADE CNEC UNAÍ,Privada sem fins lucrativos,54971,90,1.524889421,2,2018
22,CIÊNCIAS CONTÁBEIS,1702,CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,Privada com fins lucrativos,54977,93,1.097973942,2,2018
38,SERVIÇO SOCIAL,501,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,Privada sem fins lucrativos,54979,40,3.635180031,4,2018
2,DIREITO,1659,FACULDADE ESTÁCIO DE SÁ DE OURINHOS,Privada com fins lucrativos,54995,93,2.418749364,3,2018
2,DIREITO,1486,FACULDADE ESTÁCIO DE SÁ DE VITÓRIA,Privada com fins lucrativos,54997,120,2.948443666,4,2018
1,ADMINISTRAÇÃO,2582,FACULDADE DE ENSINO SUPERIOR DO CENTRO DO PARANÁ,Privada sem fins lucrativos,55007,16,3.303575002,4,2018
18,PSICOLOGIA,1461,FACULDADE DE TECNOLOGIA E CIÊNCIAS,Privada com fins lucrativos,55031,21,2.246384238,3,2018
88,TECNOLOGIA EM GASTRONOMIA,1964,"FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO",Privada com fins lucrativos,55077,128,1.719914602,2,2018
2,DIREITO,457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,55100,79,1.440908055,2,2018
18,PSICOLOGIA,457,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,55109,56,1.241806474,2,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,163,UNIVERSIDADE ESTÁCIO DE SÁ,Privada com fins lucrativos,55132,36,2.496558673,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,163,UNIVERSIDADE ESTÁCIO DE SÁ,Privada com fins lucrativos,55133,46,2.624949134,3,2018
1,ADMINISTRAÇÃO,1219,INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,Privada com fins lucrativos,55139,32,2.3819104,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,1509,Centro Universitário Estácio de Belo Horizonte - Estácio BH,Privada com fins lucrativos,55224,16,1.205223124,2,2018
1,ADMINISTRAÇÃO,2036,Faculdade Estácio do Pará - Estácio FAP,Privada com fins lucrativos,55294,84,2.273497013,3,2018
1,ADMINISTRAÇÃO,1243,Faculdade Doctum da Serra,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,55435,24,1.706811015,2,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,298,UNIVERSIDADE PITÁGORAS UNOPAR,Privada com fins lucrativos,55454,41,2.314476007,3,2018
1,ADMINISTRAÇÃO,5555,FACULDADE ANHANGUERA DE JACAREÍ,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,55504,61,2.138385341,3,2018
22,CIÊNCIAS CONTÁBEIS,605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,Pessoa Jurídica de Direito Público - Municipal,55514,130,1.828357956,2,2018
1,ADMINISTRAÇÃO,2624,FACULDADE DO LITORAL PARANAENSE,Privada com fins lucrativos,55532,8,2.471749972,3,2018
2,DIREITO,1411,FACULDADE DOIS DE JULHO,Privada sem fins lucrativos,55596,60,1.280537999,2,2018
2,DIREITO,1131,CENTRO UNIVERSITÁRIO SANTO AGOSTINHO,Privada com fins lucrativos,55600,255,2.266499188,3,2018
22,CIÊNCIAS CONTÁBEIS,1267,INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,Privada com fins lucrativos,55604,9,2.062339179,3,2018
88,TECNOLOGIA EM GASTRONOMIA,1308,FACULDADE NOVO MILÊNIO,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,55646,28,3.008773183,4,2018
2,DIREITO,1281,FACULDADE DE CIÊNCIAS SOCIAIS E AGRÁRIAS DE ITAPEVA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,55761,93,2.078562567,3,2018
2,DIREITO,1797,FACULDADES LONDRINA,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,55765,26,1.819381522,2,2018
2,DIREITO,1903,FACULDADE CRISTO REI,Privada com fins lucrativos,55767,39,1.590708145,2,2018
1,ADMINISTRAÇÃO,466,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,55806,115,2.823259239,3,2018
803,COMUNICAÇÃO SOCIAL - JORNALISMO,466,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,55828,133,2.886971283,3,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,466,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,55830,306,1.86430347,2,2018
29,TURISMO,466,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,55846,115,3.884630733,4,2018
38,SERVIÇO SOCIAL,18492,Universidade Estadual do Paraná,Pessoa Jurídica de Direito Público - Estadual,55973,21,1.933449843,2,2018
2,DIREITO,4256,FACULDADES INTEGRADAS PITÁGORAS,Privada com fins lucrativos,55998,233,2.229598229,3,2018
1,ADMINISTRAÇÃO,2171,INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR,Privada com fins lucrativos,56010,7,2.527659358,3,2018
1,ADMINISTRAÇÃO,2756,FACULDADE ANHANGUERA DE VALPARAÍSO,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,56022,37,2.107316668,3,2018
22,CIÊNCIAS CONTÁBEIS,2532,FACULDADE DO SUDESTE GOIANO,Privada com fins lucrativos,56040,17,1.853776429,2,2018
1,ADMINISTRAÇÃO,2761,FACULDADE DO SERTÃO,Privada com fins lucrativos,56044,21,1.447206234,2,2018
1,ADMINISTRAÇÃO,2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS,Privada com fins lucrativos,56058,35,2.45099545,3,2018
22,CIÊNCIAS CONTÁBEIS,2773,FACULDADE DE MACAPÁ,Privada com fins lucrativos,56069,19,1.500514906,2,2018
1,ADMINISTRAÇÃO,2773,FACULDADE DE MACAPÁ,Privada com fins lucrativos,56071,30,2.31737783,3,2018
2,DIREITO,1492,FACULDADE PITÁGORAS DE UBERLÂNDIA,Privada com fins lucrativos,56160,57,2.64227635,3,2018
22,CIÊNCIAS CONTÁBEIS,2771,CENTRO DE ENSINO SUPERIOR DE ILHÉUS,Privada com fins lucrativos,56163,26,2.307390877,3,2018
2,DIREITO,2849,ESCOLA SUPERIOR DOM HELDER CÂMARA,Privada sem fins lucrativos,56188,364,4.007328846,5,2018
22,CIÊNCIAS CONTÁBEIS,2086,INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU,Privada com fins lucrativos,56190,0,,SC,2018
22,CIÊNCIAS CONTÁBEIS,1182,INSTITUTO DE ENSINO SUPERIOR DE AMERICANA,Privada com fins lucrativos,56194,18,3.294841914,4,2018
22,CIÊNCIAS CONTÁBEIS,5303,FACULDADE ANHANGÜERA DE DOURADOS,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,56198,8,1.040045116,2,2018
1,ADMINISTRAÇÃO,1462,INSTITUTO PARAIBANO DE ENSINO RENOVADO,Privada com fins lucrativos,56222,62,1.389565557,2,2018
2,DIREITO,1977,CENTRO DE ESTUDOS SUPERIORES APRENDIZ,Privada com fins lucrativos,56316,164,2.020943295,3,2018
2,DIREITO,452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,Privada com fins lucrativos,56318,223,1.692742169,2,2018
2,DIREITO,416,FACULDADE DE SÃO PAULO,Privada com fins lucrativos,56320,227,0.694107378,1,2018
804,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,1066,INSTITUTO DE ENSINO E PESQUISA OBJETIVO,Privada com fins lucrativos,56323,3,3.880458887,4,2018
1,ADMINISTRAÇÃO,2538,FACULDADE VENDA NOVA DO IMIGRANTE,Privada com fins lucrativos,56380,11,2.955064685,4,2018
2,DIREITO,3840,CENTRO UNIVERSITÁRIO FACVEST,Privada com fins lucrativos,56382,23,2.470647991,3,2018
2,DIREITO,5600,FACULDADES INTEGRADAS SÃO JUDAS TADEU,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Associação de Utilidade Pública,56388,53,1.898904694,2,2018
2,DIREITO,4010,CENTRO UNIVERSITÁRIO METODISTA,Privada sem fins lucrativos,56442,112,1.763280895,2,2018
