area,ies,municipio,Ncursos,Nci,Ncp,enade,N,fracN,idd,cpc,cpcf,ano
21,1,5103403,1,42,40,4.05177369257519,32,0.8,0.13846485766270278,2.853562663064346,3,2014
21,2,5300108,2,123,111,3.39486652218103,13,0.11711711711711711,,3.4683258036728994,4,2014
21,3,2803609,1,60,39,2.070908040416505,6,0.15384615384615385,,2.3423807408469655,3,2014
21,4,1302603,1,17,17,3.6039249510066913,17,1.0,0.49574442878941777,,,2014
21,5,2211001,1,26,17,3.534577589795944,4,0.23529411764705882,-1.8479978683298945,2.608024335980619,3,2014
21,6,3146107,1,51,47,3.595235088245097,17,0.3617021276595745,-1.4994370616759398,3.0417464042199973,4,2014
21,8,3171303,1,25,22,3.677545829829535,9,0.4090909090909091,2.0989282055480283,3.6989786371361175,4,2014
21,9,4113700,1,62,59,3.028081048137919,24,0.4067796610169492,-1.9810640960794783,2.5962417479334365,3,2014
21,10,4106902,1,173,167,2.283344817638451,78,0.46706586826347307,-0.5583458256450677,2.4648372803047307,3,2014
21,11,2611606,1,79,73,1.501507136735508,24,0.3287671232876712,-3.090375305275562,1.892292504328552,2,2014
21,13,4305108,1,120,115,2.6985848723722237,10,0.08695652173913043,,2.6584515383328027,3,2014
21,14,4318705,1,144,138,2.6668195977425118,12,0.08695652173913043,,2.9898749177342094,4,2014
21,17,3170206,1,26,25,4.679638484351585,9,0.36,3.256747828740546,4.077494382012185,5,2014
21,18,4314407,1,37,35,2.895769622425842,23,0.6571428571428571,1.6614657276159983,3.193411863260191,4,2014
21,19,3509502,1,152,148,2.4744430508181092,68,0.4594594594594595,-0.3113999458082385,2.674281042111982,3,2014
21,20,4314100,1,131,121,1.9565806712782983,60,0.49586776859504134,-0.15389629908138727,2.417962612277888,3,2014
21,21,4314902,1,159,155,2.8023314185765464,37,0.23870967741935484,0.6993894963394933,2.914762010979268,3,2014
21,22,3550308,1,328,307,3.473254146399855,79,0.25732899022801303,-0.08028009985606434,2.9671485488406244,4,2014
21,23,4313409,1,74,72,1.8228560977910715,0,0.0,,2.345318998327689,3,2014
21,43,4209409,1,106,96,3.685964684707356,48,0.5,0.7853337790384031,2.6200927151617526,3,2014
21,47,5201108,1,105,99,2.9592184720097583,48,0.48484848484848486,-0.6827100300498871,2.325497342536262,3,2014
21,54,3509502,1,65,60,0.0,2,0.03333333333333333,,1.7753951902815448,2,2014
21,56,3506003,1,52,43,2.6966071122214705,31,0.7209302325581395,-5.426051858321317,2.0099604460007523,3,2014
21,56,3541406,1,52,46,4.304575607058172,29,0.6304347826086957,0.630867557490718,3.4522527388404134,4,2014
21,57,4115200,1,43,43,2.844978788062675,10,0.23255813953488372,-5.167841014609976,1.7127010208780151,2,2014
21,76,4202404,1,70,67,2.3574316582724606,20,0.29850746268656714,-0.22724505908029294,2.431955054056134,3,2014
21,82,4217204,1,49,48,2.180969635479472,25,0.5208333333333334,0.6844058734189653,2.4917528311186206,3,2014
21,82,4219507,1,41,35,1.6315939352789859,16,0.45714285714285713,0.7795129395574687,2.5107812798424813,3,2014
21,83,4202008,1,123,104,1.646126453565416,21,0.20192307692307693,-1.7596772317137068,2.0363074300863406,3,2014
21,107,3162500,1,52,38,3.1739882117339238,19,0.5,-0.8578470867475204,2.9537853943476007,4,2014
21,124,3503208,1,54,45,1.586008031147991,15,0.3333333333333333,-2.152262557460953,1.866669053688623,2,2014
21,125,3503307,1,29,24,1.3903604490219612,7,0.2916666666666667,-2.207950519112136,,,2014
21,137,3506003,1,66,63,2.23682167149325,26,0.4126984126984127,0.07665032487653246,3.2471111219854283,4,2014
21,138,3543402,1,78,70,1.9462374140890573,30,0.42857142857142855,-1.7001048772550529,2.018385164522635,3,2014
21,142,3170206,1,59,55,2.511866775907814,31,0.5636363636363636,0.4365674943941095,3.007587828251046,4,2014
21,143,3170107,1,49,47,2.9511347597241033,14,0.2978723404255319,2.5550309183994133,2.955471484041723,4,2014
21,146,3549805,1,47,38,2.803480694204529,18,0.47368421052631576,2.926828632562025,3.072028487476227,4,2014
21,150,3552205,1,62,62,2.1295456817108196,35,0.5645161290322581,0.6845976670024385,2.457579441035141,3,2014
21,162,3550308,1,327,275,1.7763359779310988,62,0.22545454545454546,-0.6414423938326467,2.4179732156664184,3,2014
21,163,3304557,1,37,36,2.5989367721602927,2,0.05555555555555555,,2.86429954481569,3,2014
21,203,3550308,1,112,108,2.738061486837068,59,0.5462962962962963,0.13756794983474746,2.948263385891039,4,2014
21,207,3543402,1,71,65,1.7396117590337234,14,0.2153846153846154,-1.2378805656206775,2.2819293703008503,3,2014
21,216,3106200,2,232,188,2.1211045519473735,97,0.5159574468085106,-0.27455076749961177,2.098700712536901,3,2014
21,221,3550308,1,89,84,0.6295857553930555,27,0.32142857142857145,-2.734098646463581,1.707487244502297,2,2014
21,222,3557105,1,50,48,1.6421575991227249,30,0.625,0.3613323265219356,2.7380276560146695,3,2014
21,227,3548500,1,60,58,1.3471912053658464,17,0.29310344827586204,0.6669811931507338,2.797969962932417,3,2014
21,240,3304557,1,101,93,2.047414636184098,18,0.1935483870967742,,2.2919645829088027,3,2014
21,265,3534708,1,38,37,2.4223410948948465,7,0.1891891891891892,,2.5700430665298084,3,2014
21,266,3545803,1,56,52,2.359806907436431,27,0.5192307692307693,0.6623111853831491,2.86865107317727,3,2014
21,269,3555000,1,34,28,1.2968114407782938,15,0.5357142857142857,-0.6022545226429046,2.1845339497580913,3,2014
21,271,3541406,1,52,48,1.885447434551546,21,0.4375,-0.3364052299096666,3.0340000219932843,4,2014
