area,curso,N,idd,ano
21,44,40.0,0.60366214573,2017
21,132,97.0,0.273903182756,2017
21,1138293,84.0,-0.697898457223,2017
21,99444,24.0,1.407099552734,2017
21,122640,50.0,-0.680561006174,2017
21,517,81.0,-0.6571205128,2017
21,112596,39.0,0.445634605906,2017
21,704,46.0,0.008688751745,2017
21,750,63.0,-3.380539087827,2017
21,864,159.0,-0.277736247299,2017
21,52971,61.0,-0.047144052098,2017
21,1140,70.0,0.780290733018,2017
21,1181260,2.0,-3.126332131994,2017
21,1237,102.0,-0.245029463132,2017
21,1276952,23.0,1.156782884159,2017
21,18374,57.0,-0.46687369793,2017
21,1534,50.0,-0.520040380833,2017
21,1634,160.0,-0.112878039161,2017
21,1786,119.0,-0.048940837346,2017
21,18056,78.0,-0.158351704154,2017
21,2016,309.0,0.224703575531,2017
21,41780,38.0,-0.424756519362,2017
21,112414,82.0,0.216763049395,2017
21,21866,96.0,0.035427451585,2017
21,18400,40.0,-0.010234156803,2017
21,3202,65.0,0.263568484892,2017
21,66995,55.0,0.955642546745,2017
21,21627,21.0,3.364633142292,2017
21,3681,43.0,0.063597465759,2017
21,5001003,20.0,-1.441828363614,2017
21,21000,22.0,0.678179405894,2017
21,115790,28.0,1.867018844198,2017
21,1169147,17.0,-0.154845192839,2017
21,3948,86.0,0.465886314225,2017
21,1175164,15.0,2.364184162333,2017
21,122322,33.0,-0.112976216991,2017
21,19361,36.0,-0.310933147004,2017
21,68190,21.0,1.245247687564,2017
21,110808,105.0,-0.314001411782,2017
21,19008,29.0,-0.630480047883,2017
21,4545,51.0,-0.788843250492,2017
21,4602,55.0,0.213205086769,2017
21,20300,62.0,0.107615133463,2017
21,1107280,169.0,0.121114044818,2017
21,4887,208.0,-0.110212332117,2017
21,4960,57.0,0.396736027299,2017
21,1161243,45.0,-0.581987427684,2017
21,1183749,39.0,-0.528328962418,2017
21,1184923,24.0,-0.762907655925,2017
21,5480,182.0,0.22330529057,2017
21,5586,96.0,0.287649101154,2017
21,5778,49.0,-0.463869077443,2017
21,111224,86.0,-0.815293746483,2017
21,70356,72.0,-0.879262582454,2017
21,20420,67.0,-0.354184514404,2017
21,5956,58.0,0.660402960382,2017
21,6116,18.0,-1.694929702432,2017
