curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
73031,1,6.866055233383816,17,14.14535804451072,503.38088235294117,1196,4115200,3.430753254688128,2501,2017
5000539,2,4.884269699905703,10,4.084914413714145,541.2149999999999,57,4115200,1.2917633594188054,2501,2017
111006,3,4.828633143531408,107,9.63447678197323,536.9887850467288,374,3550308,0.9314000257996763,2501,2017
31978,4,3.7203001266091804,19,8.338423737811771,513.6881578947367,634,4314407,1.9129656011338,2501,2017
23315,5,3.4397375411448072,4,2.821695263903127,536.4937500000001,265,3534708,1.4108476319515635,2501,2017
66503,6,3.3367508209477594,10,8.516246854890142,529.9825000000001,449,4304606,2.6930737177698316,2501,2017
20059,7,3.2339861573920987,8,12.882807152474838,495.31874999999997,81,4209102,4.554760149116757,2501,2017
1154848,8,3.2238162597345323,22,10.735889075175827,467.63409090909096,746,2307304,2.2888992415418583,2501,2017
1165311,9,3.1796029601344773,11,8.818662953465136,515.6636363636362,2117,4117909,2.6589269244773854,2501,2017
120080,10,2.954128682268797,13,10.731094860176352,545.9403846153847,1807,2304400,2.976270212325685,2501,2017
52159,11,2.7266929465989906,2,14.076052893323553,530.1624999999999,2,5300108,9.953272453209605,2501,2017
84006,12,2.69603213116734,14,3.4602391654162235,580.467857142857,1036,3106200,0.9247878166631508,2501,2017
102702,13,2.4424882781191775,13,11.576174684194863,530.4653846153846,830,1600303,3.21065318443021,2501,2017
70395,14,2.37187863697237,35,8.448824077741397,525.1785714285714,221,3550308,1.4281119233511754,2501,2017
70694,15,2.2598266353915437,8,8.030659398686677,540.80625,3151,4204202,2.8392668591054155,2501,2017
63886,16,2.1423335060701856,7,2.8302456869621984,586.3249999999999,730,4119905,1.0697323195593056,2501,2017
52386,17,1.9151192007197262,27,11.00713161715496,541.8953703703703,383,1501402,2.118323467390019,2501,2017
107438,18,1.908802947849842,2,25.096695007454333,454.4,579,2507507,17.74604322514153,2501,2017
117352,19,1.848869987066254,7,7.763449190053706,572.5392857142857,43,4205407,2.9343079818525606,2501,2017
1182589,20,1.7286625259095363,9,9.965846496438312,537.2666666666668,1149,3545209,3.321948832146104,2501,2017
1276412,21,1.6219714642026488,5,7.262652703024687,506.325,18506,2928109,3.2479570281871584,2501,2017
91972,22,1.6134874731728923,10,16.108273246789803,649.6825,54,3509502,5.0938832632211355,2501,2017
95667,23,1.610969472737615,27,10.608216058081672,582.324074074074,570,2408102,2.0415521322517214,2501,2017
36348,24,1.580591493712006,13,13.089805412702667,542.1634615384615,694,5002704,3.630458815488118,2501,2017
116522,25,1.5332609685448184,11,8.788180298679698,597.2477272727273,571,4106902,2.649736058246728,2501,2017
111889,26,1.416448691131991,22,10.677861344994358,594.9522727272727,547,3304557,2.276527687898679,2501,2017
9600,27,1.270328272759968,5,11.37271723054774,604.9649999999999,460,3550308,5.0860337632775785,2501,2017
84840,28,1.2427488133251998,8,12.574286282537802,536.609375,582,4316907,4.445681549481732,2501,2017
12943,29,1.1522147966723995,14,10.115301026361355,597.0428571428571,575,3106200,2.7034279146233566,2501,2017
1321293,30,1.0144389194446706,2,9.102505644480999,486.6625,221,3550308,6.4364434670013395,2501,2017
75809,31,0.7541799713776296,3,7.286988557691398,542.275,472,3301702,4.207144805364852,2501,2017
88502,32,0.7085438478601588,7,9.3861007675277,538.9964285714286,20,4314100,3.5476126302101103,2501,2017
123567,33,0.6924742774724053,5,13.620649341732257,560.19,699,1100205,6.091339565160218,2501,2017
28184,34,0.6857741851659936,41,9.510750935451762,546.933536585366,370,3550308,1.485329751975081,2501,2017
1103310,35,0.6745886865852954,18,13.458154398190755,534.9611111111112,600,2111300,3.1721174124054143,2501,2017
70536,36,0.5501257568414085,19,8.3356705664009,577.6697368421053,18492,4106902,1.9123339802941035,2501,2017
1105133,37,0.5387495496323531,38,12.582653423201013,541.6914473684211,5,2211001,2.0411759199075226,2501,2017
97219,38,0.4873028365207977,3,13.09420661294716,433.2833333333333,319,3550308,7.559943712809621,2501,2017
1212284,39,0.40014016623909426,12,14.991706024148206,591.7624999999999,56,3506003,4.327732754326851,2501,2017
1120464,40,0.3830027271463361,29,11.23857244730853,526.275,5312,3504107,2.086950511230255,2501,2017
21990,41,0.3557571479906991,13,12.400628967850485,522.001923076923,584,5208707,3.4393156608914626,2501,2017
1155133,42,0.29030660002968833,10,14.21203750745503,546.2625,18492,4106902,4.494240871530013,2501,2017
11462,43,0.07632938598655765,5,4.346462323507304,569.9350000000001,548,2111300,1.9437970434008027,2501,2017
119216,44,0.06466187385206455,14,10.021302793385145,496.7125,482,4204608,2.6783058301405616,2501,2017
23910,45,0.044669929044073464,23,10.042556679000096,564.4902173913044,580,2611606,2.094017821556668,2501,2017
58330,46,-0.04215484045226155,8,12.074108882941614,512.66875,23,4313409,4.2688421339563725,2501,2017
116962,47,-0.0758366209924976,11,12.919353913623944,540.1954545454546,3984,2918407,3.895331769572748,2501,2017
38370,48,-0.15558873689783817,21,10.205600142875442,513.9285714285716,496,3516200,2.2270445317704213,2501,2017
18973,49,-0.16215736392761435,3,13.051228621098705,530.5500000000001,74,3549706,7.535130357646686,2501,2017
116768,50,-0.21384095343350543,23,12.068859349597949,596.2597826086957,581,4314902,2.516531135618665,2501,2017
109871,51,-0.3258887894504035,17,12.132524539753907,473.12205882352947,206,3550308,2.942569422517862,2501,2017
112356,52,-0.38650884689206033,5,10.461847934163416,552.65,13,4305108,4.678680630211028,2501,2017
111378,53,-0.41220023320435256,29,10.166306030461099,573.8775862068966,17,3170206,1.8878356363378757,2501,2017
1103469,54,-0.6061731971992448,23,9.293608377628276,448.7347826086957,4,1303403,1.9378513053370814,2501,2017
151,55,-0.6870233063923513,13,19.113939439463266,611.3057692307692,2,5300108,5.30125297885371,2501,2017
1111550,56,-0.6968099708063888,10,9.421131953902078,512.9800000000001,150,3552205,2.9792235111323015,2501,2017
1146843,57,-0.9130038928662044,23,17.236498227603047,556.945652173913,9,4113700,3.5940583283244574,2501,2017
1323001,58,-0.9886215925701396,2,0.8807443890311438,496.275,496,3516200,0.6227803299759245,2501,2017
96669,59,-1.0903235970284026,4,1.5947401532332803,495.09375,1499,3552809,0.7973700766166402,2501,2017
1044,60,-1.09830517265498,16,9.224298137950232,538.4,12,4315602,2.306074534487558,2501,2017
21865,61,-1.1209984523879681,13,13.177083208886588,552.0788461538461,19,3509502,3.6546653208227813,2501,2017
78150,62,-1.2712256262986954,4,14.126586458422894,521.34375,4030,3301009,7.063293229211447,2501,2017
1156313,63,-1.3218796077249064,3,4.748228022018454,489.6583333333333,789,1400100,2.741390726686079,2501,2017
62512,64,-1.3544702491927223,28,8.793036884172581,514.8660714285714,4,1302603,1.6617277760384934,2501,2017
52472,65,-1.5842450676841942,45,10.454698228552102,556.3761111111112,573,3205309,1.5584943948859422,2501,2017
120114,66,-1.924210101088165,17,9.411525506984779,467.34411764705885,14724,4117602,2.282630221381944,2501,2017
92597,67,-1.9419256083866872,5,5.509150327554866,451.98499999999996,367,3143302,2.4637669261355826,2501,2017
99238,68,-2.0941791974743396,23,8.786535862476684,534.858695652174,1788,3526902,1.8321193769558,2501,2017
112158,69,-2.111711779493093,18,7.141123565430827,458.92916666666656,2,5300108,1.6831789661357315,2501,2017
9926,70,-2.2122697470878676,5,3.6427053532639553,498.56500000000005,483,3518800,1.6290673583801178,2501,2017
108844,71,-2.275103470843872,75,13.019561403837676,535.9210000000002,135,3505906,1.5033694562473086,2501,2017
80419,72,-2.4182926796351953,16,11.114019631680536,508.48906249999993,3,2806701,2.778504907920134,2501,2017
23969,73,-2.479631213850408,4,10.370968739465788,583.73125,586,3304557,5.185484369732894,2501,2017
100738,74,-2.718951370308039,37,11.526915574382437,489.3499999999999,953,3548500,1.8950132471828236,2501,2017
94725,75,-2.764240342776502,50,16.947385503684583,650.8705000000001,56,3550308,2.3967222426075923,2501,2017
13312,76,-2.832244019000802,11,10.358704705275136,550.4977272727272,578,2927408,3.123266983771513,2501,2017
6481,77,-3.2636256283599416,15,10.134325740820058,508.59999999999985,271,3541406,2.616671654615815,2501,2017
30273,78,-3.4124396969716693,25,13.658326415650528,542.6900000000002,586,3304557,2.7316652831301056,2501,2017
116664,79,-3.9782869022425933,19,10.16565019516447,485.0486842105263,2620,4101002,2.332160099795076,2501,2017
1151733,80,-4.026505400529659,12,13.230187776240214,516.4979166666667,587,2611606,3.8192262370207923,2501,2017
28469,81,-4.210216609344289,6,14.368524829584892,468.45,652,3538006,5.865925698165602,2501,2017
1112914,82,-4.78305836009329,12,8.687610982226563,516.0041666666667,573,3205309,2.5078972696016275,2501,2017
1285868,83,-5.116735737753738,44,11.23564088848852,502.49999999999994,322,3550308,1.6938365957405361,2501,2017
111734,84,-6.003240810110242,202,10.715659478370963,488.4780940594058,1472,4207502,0.753951169914769,2501,2017
114907,85,-7.396929934964946,36,12.772204455456155,561.5208333333335,569,1501402,2.128700742576026,2501,2017
