curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
50622,1,22.93815050798858,3,6.8425271174394,704.6666666666666,633,3304557,3.9505348731909518,5806,2017
50619,2,15.202730760903663,3,7.9452007882333655,697.4833333333332,633,3304557,4.58716381385216,5806,2017
14644,3,12.075351763393861,18,12.35160881989203,736.3222222222223,602,3549904,2.9113021183697416,5806,2017
1188416,4,11.416364850411334,2,5.2137074857399535,613.6125,600,2105302,3.6866479182897858,5806,2017
1186045,5,10.343721567354441,11,9.06791983508957,586.3159090909091,423,4307005,2.734080702001229,5806,2017
1150197,6,9.678764360414394,14,10.475674181048324,624.5535714285714,664,3205200,2.7997416914968944,5806,2017
1185340,7,9.320499782579914,11,10.891712075033952,558.7545454545456,423,4317509,3.283974752497351,5806,2017
39087,8,8.790203005733899,45,11.418468164395248,683.0061111111112,8,3171303,1.7021647343003345,5806,2017
1188363,9,8.58508583955301,9,9.457661843713455,645.2111111111111,3162,4205407,3.152553947904485,5806,2017
1168523,10,8.284071813125792,4,9.545915116971415,618.075,13,4305108,4.772957558485707,5806,2017
1113665,11,7.916809692271069,10,11.501669676630666,618.1925000000001,634,4314407,3.637147307304522,5806,2017
83582,12,7.7610826781762015,4,7.743892005396229,542.0375,457,3548708,3.8719460026981145,5806,2017
1102354,13,7.648756162795966,16,9.172873323264005,650.8578124999999,588,4127700,2.2932183308160012,5806,2017
103430,14,7.505230179431123,20,12.212939416164591,620.3462499999998,1578,4314407,2.730896273963062,5806,2017
12809,15,7.466821973679348,95,11.02207907837031,698.934210526316,573,3205309,1.1308414529378628,5806,2017
1152842,16,7.3681313944285165,3,4.479177925801961,607.2083333333334,17138,4209102,2.586054581209992,5806,2017
1258692,17,7.3529443500808425,3,5.78272309745697,574.9416666666667,1557,3106200,3.3386567369658486,5806,2017
80418,18,7.349722211346811,10,8.803274976377033,628.505,3,2806701,2.7838399794116406,5806,2017
12955,19,7.1100764663028615,146,10.666681526610315,721.4042808219177,575,3106200,0.8827808443268792,5806,2017
42566,20,7.082448411496614,41,9.955416692874516,666.3884146341463,9,4113700,1.5547748760948388,5806,2017
104202,21,7.048865595812931,2,6.921547320006824,459.025,589,2408003,4.894273046280399,5806,2017
74070,22,7.045448860187699,19,9.087461618359939,637.2776315789473,3984,2918407,2.084806676196608,5806,2017
122341,23,6.821841928043737,32,9.364115314669164,666.25546875,585,4205407,1.6553573597038416,5806,2017
99521,24,6.630070720856801,18,9.69523389580522,577.7541666666667,1351,4209102,2.2851885443045137,5806,2017
2534,25,6.226720402104017,56,11.107630594356067,636.6227678571428,43,4209102,1.4843195736760215,5806,2017
881,26,6.219571495231803,6,8.495786635077241,602.1583333333332,10,4106902,3.4683903699160195,5806,2017
1128389,27,5.927907838923069,16,9.050996178066617,592.3984375,1811,5211503,2.2627490445166543,5806,2017
13705,28,5.891963810050364,56,11.13869555394358,682.4870535714284,581,4314902,1.4884708035156804,5806,2017
305488,29,5.648965064870493,8,9.719495245124484,573.584375,203,3550308,3.4363604987689635,5806,2017
14242,30,5.605941239966521,85,10.285464825055445,681.5761764705885,585,4205407,1.1156152966884811,5806,2017
1163807,31,5.57206344497768,12,8.053584954621376,526.5979166666666,3840,4209300,2.324869720746086,5806,2017
109602,32,5.517576915915731,62,10.56183794005806,632.6875000000001,588,4118501,1.3413547597428042,5806,2017
1109487,33,5.473901179520697,20,11.501058153657622,666.545,576,3136702,2.5717147844756663,5806,2017
58428,34,5.391574956455079,10,7.94127401578239,552.4875,645,4208906,2.5112513413384283,5806,2017
1143271,35,5.2376212392109744,15,7.412839362125628,552.095,3151,4204202,1.9139868931748911,5806,2017
26023,36,5.087752630951614,56,10.248841424839487,626.6209821428572,1878,3548708,1.3695590436830511,5806,2017
13269,37,4.924396890099181,49,13.907008535494015,674.1530612244898,578,2927408,1.9867155050705736,5806,2017
61289,38,4.905614678429117,9,10.273953436350942,572.5972222222222,322,3525904,3.424651145450314,5806,2017
1259062,39,4.886410979732709,7,6.069320313622165,563.4428571428572,349,3106200,2.293987453862399,5806,2017
1170853,40,4.716933941747443,43,8.520947580505332,577.4668604651162,4962,3167202,1.29943232390613,5806,2017
14596,41,4.7152565635792625,74,10.359793476502237,684.0611486486486,594,3106200,1.2043015295170076,5806,2017
1129168,42,4.6349185634523495,4,13.928863324443206,615.7625,789,1400100,6.964431662221603,5806,2017
50620,43,4.606664038283158,5,5.709589416583787,731.665,633,3304557,2.5534060118189426,5806,2017
41729,44,4.542619991413083,7,6.262813896223426,601.625,555,2304400,2.367121153840952,5806,2017
26073,45,4.535923583826906,33,12.456474158479137,622.2878787878788,14,4318705,2.168393822980772,5806,2017
1163662,46,4.4758014827601995,12,9.951499302185901,561.7583333333332,1519,4118501,2.8727504004787017,5806,2017
46206,47,4.418842671397392,7,6.67958195521887,619.2714285714286,1632,4113700,2.5246446736262436,5806,2017
107116,48,4.388904460271545,24,8.19513496663953,567.05625,1196,4115200,1.6728249201256078,5806,2017
5000197,49,4.319129084773918,11,9.634028642049724,536.0045454545456,1718,2910800,2.9047689295650985,5806,2017
32118,50,4.2174147938398026,9,8.92748096276957,644.6333333333333,1878,3548708,2.9758269875898566,5806,2017
