curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
13591,1,16.808039579884984,2,3.9185894560332404,604.8875,580,2611606,2.7708611770472085,1501,2014
43193,2,15.278099726734668,3,3.8405219152448353,644.425,585,4205407,2.217326361595263,1501,2014
99567,3,12.589242774753368,9,9.479486781287198,655.0083333333332,583,2304400,3.1598289270957327,1501,2014
1125889,4,12.328131411223767,4,10.693069339877544,646.28125,586,3302403,5.346534669938772,1501,2014
1129806,5,10.401624078833791,2,10.790316640693545,584.3125,13,4305108,7.629906067784453,1501,2014
5000058,6,8.925805263353089,22,10.677456996649475,664.8363636363637,575,3106200,2.2764414805418927,1501,2014
314239,7,8.780199482720628,16,13.358281097172446,626.7421875,585,4205407,3.3395702742931115,1501,2014
101535,8,7.589934584501608,7,4.158218769787245,638.9035714285714,634,4304663,1.5716589659797133,1501,2014
70011,9,7.5523456177333115,6,8.572880746544001,563.4083333333333,609,4127700,3.4998639091271544,1501,2014
312555,10,7.338941502043319,19,11.553735177719837,648.4355263157896,571,4106902,2.6506086347427216,1501,2014
10874,11,7.255628169602954,2,14.150581958511559,727.325,528,3304557,10.005972460599539,1501,2014
1102344,12,7.20976107779708,11,9.927532210806175,684.8795454545453,4925,3547809,2.9932635852192284,1501,2014
13871,13,6.9873173512482385,7,8.359190726069041,635.342857142857,582,4316907,3.1594771175623046,1501,2014
47340,14,6.668419118165944,27,11.169681549493399,700.3537037037037,54,3509502,2.1496062164541367,1501,2014
1179878,15,6.577326409996322,5,12.943141133404778,595.51,95,2312908,5.788348683333351,1501,2014
1106983,16,6.28035003403831,3,12.657810788514205,552.8833333333333,4,1302603,7.3079904661000255,1501,2014
63894,17,5.607264008579327,7,6.8461815864729925,638.5035714285715,730,4119905,2.58761341545674,1501,2014
312975,18,5.534676371398554,19,9.298691767799578,666.711842105263,575,3106200,2.1332661959458914,1501,2014
103349,19,5.488814027969921,5,15.842515188584933,610.8349999999999,582,4316907,7.084988179249762,1501,2014
13218,20,5.09449779621675,4,14.025274830896013,592.8125,577,2704302,7.0126374154480065,1501,2014
64040,21,4.815260830608726,10,5.974058290691496,587.0125,423,4308508,1.889163107319741,1501,2014
45080,22,4.6396882092303615,7,13.635302691085041,671.2214285714286,581,4314902,5.1536599959572555,1501,2014
25187,23,4.562623217899278,28,13.31667696832331,676.9446428571428,56,3503208,2.5166153962832167,1501,2014
3150,24,3.9329214556549834,14,8.48910643484335,671.8267857142858,56,3503208,2.268809128502987,1501,2014
300118,25,3.774821975757912,13,7.897716619729995,643.2769230769231,2,5300108,2.190432479347741,1501,2014
42143,26,3.5264023844119383,16,4.6787548409093915,543.8046875,298,4101507,1.1696887102273479,1501,2014
314118,27,3.2302119935467264,11,10.937475359564505,630.3818181818183,584,5208707,3.2977729019484525,1501,2014
101332,28,3.0490491887089584,7,6.61807000263302,650.7464285714286,594,3106200,2.5013953408833647,1501,2014
354682,29,2.8519191833415043,4,7.860067456978596,597.875,1766,3201308,3.930033728489298,1501,2014
1103531,30,2.8048049928834256,6,11.049429203818368,570.1958333333332,12,4315602,4.510910583060332,1501,2014
19487,31,2.7430720825845896,3,12.258184938467076,667.6916666666666,54,3509502,7.0772663740001835,1501,2014
1101389,32,2.156215778958673,11,6.443946719561392,526.3977272727273,3849,1709500,1.9429230398024244,1501,2014
3406,33,1.9962715855814679,19,8.831962234658224,608.2342105263158,57,4115200,2.026191097581203,1501,2014
64159,34,1.978672158769316,15,8.708412779735408,558.4666666666667,423,4307005,2.2485025111876715,1501,2014
95769,35,1.9430166777169928,16,7.660732845318993,565.5984375,4504,5003702,1.9151832113297482,1501,2014
769,36,1.8071755031082215,17,11.913746309171202,625.8867647058823,9,4113700,2.8895079076191426,1501,2014
1140082,37,1.6367599481004742,4,7.115117636582152,587.84375,2,5300108,3.557558818291076,1501,2014
6755,38,1.6052250441638722,9,8.856103550999823,595.9583333333334,295,4316808,2.952034516999941,1501,2014
1134829,39,1.5363883682687869,19,6.8425423990511,576.7552631578947,8,3155504,1.569786886018742,1501,2014
86082,40,1.3937635736502838,6,9.570871620416993,580.3958333333334,3641,3505500,3.90729197728434,1501,2014
113635,41,1.3361679105095747,21,9.142757814982549,562.0833333333334,634,4304663,1.9951133213241234,1501,2014
1103712,42,1.1219515076628888,17,6.167966785581634,609.5823529411764,1,5103403,1.4959516795443832,1501,2014
1100002,43,1.0692191119329166,7,6.0295604066493365,635.6428571428571,572,3306305,2.278959621576518,1501,2014
64794,44,0.8791267218500575,15,9.382610179733142,621.3366666666666,595,3101607,2.422579531337509,1501,2014
306061,45,0.8413336272225175,35,8.009383571635572,601.4100000000002,234,3550308,1.3538329206640973,1501,2014
21159,46,0.7435414222788833,11,9.03098594898761,664.2113636363637,6,3146107,2.7229447163421447,1501,2014
91749,47,0.4633213882784263,13,9.565585514779302,549.1846153846153,688,2918001,2.6530160810286443,1501,2014
57548,48,0.09904295441032944,23,7.719100795980304,540.3293478260869,20,4314100,1.6095437795213325,1501,2014
1059775,49,0.01604356433947407,8,7.335151200547665,535.41875,4522,3502804,2.5933675774679497,1501,2014
1102254,50,-0.02723478088699447,17,8.214293823478684,654.1544117647057,588,4106902,1.992258886709492,1501,2014
31592,51,-0.02971814658099262,29,8.463152268567189,586.3086206896552,231,3548708,1.571567922555468,1501,2014
402038,52,-0.0333512233134341,4,7.729523225878336,526.69375,584,5205109,3.864761612939168,1501,2014
300700,53,-0.0756522925861347,16,8.500597588360884,647.3765625,8,3171303,2.125149397090221,1501,2014
12709,54,-0.07926240164250704,12,11.300016594416542,693.2666666666665,572,3303302,3.2620338113168144,1501,2014
51741,55,-0.11647701993552333,12,6.177859557388268,539.3395833333334,1949,3536505,1.7833944392369094,1501,2014
300625,56,-0.15298265444303763,17,11.276240394941654,679.5955882352944,7,3548906,2.7348900122471203,1501,2014
122298,57,-0.18681897564864008,19,9.379592149775547,604.525,107,3162500,2.151826016447317,1501,2014
302007,58,-0.4768410363624078,21,9.56831308125871,625.1595238095235,22,3550308,2.087977093709723,1501,2014
312700,59,-0.5561970360679176,4,22.454965064613138,652.1062499999999,572,3303302,11.227482532306569,1501,2014
150310,60,-0.7282623414691805,8,6.415378719127702,565.478125,24,2913606,2.2681788980875326,1501,2014
119294,61,-0.7636057022007634,3,3.381322150423923,537.8583333333333,1225,3501905,1.9522072537640964,1501,2014
112500,62,-0.8178344708072872,24,10.56240232409602,522.2541666666666,437,4128104,2.1560413460018673,1501,2014
83244,63,-0.9121595473807627,10,8.350240441617181,528.9625000000001,3875,3128709,2.640577880556055,1501,2014
70220,64,-1.0686371572314386,5,7.088553385744383,581.6450000000001,641,4304606,3.1700974465321456,1501,2014
322,65,-1.3254127095291732,8,9.34754484198962,614.8000000000002,3,2806701,3.3048561726080976,1501,2014
309840,66,-1.3941999899946902,8,6.1589552193117765,580.89375,481,3518800,2.1775195002998182,1501,2014
120805,67,-1.7414430927930986,22,7.682991956478962,537.4079545454547,271,3541406,1.6380193888757075,1501,2014
123565,68,-2.003705920238643,10,8.419885599042178,599.4699999999999,1028,5003702,2.6626016131024532,1501,2014
60296,69,-2.197667015029235,5,6.215257180215983,631.985,581,4314902,2.7795475105213194,1501,2014
13431,70,-2.2023961864440165,16,6.179281933407419,576.7421875,579,2507507,1.5448204833518548,1501,2014
1906,71,-2.2400918282745517,13,9.291660466182828,607.8076923076923,21,4314902,2.5770429419249092,1501,2014
519,72,-2.247920020325832,27,10.447001656569606,590.7157407407408,5,2211001,2.010526406214976,1501,2014
88418,73,-2.266191666718057,31,7.004245478254338,552.4467741935484,670,3507605,1.257999624591543,1501,2014
305352,74,-2.308342897956379,21,9.987115945465497,567.4869047619046,192,3304557,2.179367371161719,1501,2014
409604,75,-2.3331964334499777,23,10.852216082771925,599.8989130434783,588,4118501,2.2628434777199513,1501,2014
313106,76,-2.398435900086314,9,13.338576305383759,609.275,576,3136702,4.446192101794586,1501,2014
310155,77,-2.533780843761988,24,8.213096490409834,537.3281249999999,496,3516200,1.676491300812284,1501,2014
38863,78,-2.621938091234772,67,8.33647582204267,572.8787313432837,521,3530607,1.0184626190687258,1501,2014
114093,79,-2.6278825012536062,39,9.282790190930443,598.6794871794873,107,3122306,1.4864360554336642,1501,2014
74734,80,-2.6667273274611785,9,6.480884410470915,540.1416666666667,1273,3509601,2.160294803490305,1501,2014
372003,81,-2.7429350742538103,10,7.995010090625686,576.7875,227,3548500,2.5282441802406375,1501,2014
111386,82,-2.7625098016612304,8,5.620570695875327,588.803125,17,3134202,1.987171826595918,1501,2014
101064,83,-2.8889333162814306,35,11.462722835263627,663.7271428571431,591,3513801,1.9375537949993558,1501,2014
1659,84,-2.964821482154029,46,8.269630536145497,593.3875,19,3509502,1.219290502927563,1501,2014
12335,85,-3.1446552983323897,44,8.579308937297695,595.6943181818183,570,2408102,1.2933794866163262,1501,2014
112092,86,-3.308808308974131,7,11.937800899202655,497.1321428571428,4,1301902,4.51206462575621,1501,2014
303674,87,-3.3129443555817475,9,6.011796436943543,565.6527777777778,76,4202404,2.003932145647848,1501,2014
320541,88,-3.488603612694129,14,5.577146096381555,553.5375,244,3534401,1.4905549920459642,1501,2014
1103255,89,-3.54498822263684,19,9.506305740792474,673.142105263158,591,3513801,2.1808961079218396,1501,2014
311171,90,-3.6669426186001894,10,9.246935098666349,576.9374999999999,1126,4109401,2.924137628753948,1501,2014
1153800,91,-3.755973953774756,31,8.445509462599478,627.591935483871,3163,3303203,1.5168582778001647,1501,2014
