curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
13591,1,13.14227978160752,2,3.9185894560332404,604.8875,580,2611606,2.7708611770472085,1501,2014
43193,2,10.771414004872058,3,3.8405219152448353,644.425,585,4205407,2.217326361595263,1501,2014
1129806,3,8.133075435563363,2,10.790316640693545,584.3125,13,4305108,7.629906067784453,1501,2014
1125889,4,7.913516646233171,4,10.693069339877544,646.28125,586,3302403,5.346534669938772,1501,2014
13871,5,6.875201772611083,8,12.211264537712266,629.840625,582,4316907,4.317333980739577,1501,2014
10874,6,5.673207451888178,2,14.150581958511559,727.325,528,3304557,10.005972460599539,1501,2014
99567,7,5.582368601026391,9,9.479486781287198,655.0083333333332,583,2304400,3.1598289270957327,1501,2014
1106983,8,4.427792168011795,3,12.657810788514205,552.8833333333333,4,1302603,7.3079904661000255,1501,2014
70011,9,4.111717135767786,6,8.572880746544001,563.4083333333333,609,4127700,3.4998639091271544,1501,2014
1179878,10,3.8751202193994176,5,12.943141133404778,595.51,95,2312908,5.788348683333351,1501,2014
101535,11,3.840572829658153,7,4.158218769787245,638.9035714285714,634,4304663,1.5716589659797133,1501,2014
13218,12,3.270194952485298,4,14.025274830896013,592.8125,577,2704302,7.0126374154480065,1501,2014
103349,13,3.2338085256014097,5,15.842515188584933,610.8349999999999,582,4316907,7.084988179249762,1501,2014
1102344,14,2.845088122278865,11,9.927532210806175,684.8795454545453,4925,3547809,2.9932635852192284,1501,2014
63894,15,2.837324295790885,7,6.8461815864729925,638.5035714285715,730,4119905,2.58761341545674,1501,2014
314239,16,2.7171250106781186,16,13.358281097172446,626.7421875,585,4205407,3.3395702742931115,1501,2014
45080,17,2.3477225364815877,7,13.635302691085041,671.2214285714286,581,4314902,5.1536599959572555,1501,2014
5000058,18,2.194034063647957,22,10.677456996649475,664.8363636363637,575,3106200,2.2764414805418927,1501,2014
64040,19,2.0108463873688125,10,5.974058290691496,587.0125,423,4308508,1.889163107319741,1501,2014
312555,20,2.0107662937686626,19,11.553735177719838,648.4355263157896,571,4106902,2.650608634742722,1501,2014
123565,21,1.9735199694939496,11,12.275117085843466,591.1886363636363,1028,5003702,3.701087057402143,1501,2014
19487,22,1.9339293220492806,3,12.258184938467076,667.6916666666666,54,3509502,7.0772663740001835,1501,2014
101332,23,1.542845375025829,7,6.61807000263302,650.7464285714286,594,3106200,2.5013953408833647,1501,2014
1103531,24,1.5270176095552017,6,11.049429203818368,570.1958333333332,12,4315602,4.510910583060332,1501,2014
312975,25,1.5164231369642915,19,9.298691767799578,666.711842105263,575,3106200,2.1332661959458914,1501,2014
47340,26,1.3993003017115127,27,11.169681549493399,700.3537037037037,54,3509502,2.1496062164541367,1501,2014
3150,27,1.3320642508793117,14,8.48910643484335,671.8267857142858,56,3503208,2.268809128502987,1501,2014
314118,28,1.2746938041517615,11,10.937475359564505,630.3818181818183,584,5208707,3.2977729019484525,1501,2014
42143,29,1.0912822806881841,16,4.678754840909391,543.8046875,298,4101507,1.1696887102273477,1501,2014
1140082,30,1.0506480392793858,4,7.115117636582152,587.84375,2,5300108,3.557558818291076,1501,2014
25187,31,0.9301979137436671,28,13.31667696832331,676.9446428571428,56,3503208,2.5166153962832167,1501,2014
1101389,32,0.8508775582976736,11,6.443946719561392,526.3977272727273,3849,1709500,1.9429230398024244,1501,2014
86082,33,0.7588055233503409,6,9.570871620416993,580.3958333333334,3641,3505500,3.90729197728434,1501,2014
6755,34,0.7117948270957216,9,8.856103550999823,595.9583333333334,295,4316808,2.952034516999941,1501,2014
64159,35,0.6399398804827385,15,8.708412779735408,558.4666666666667,423,4307005,2.2485025111876715,1501,2014
95769,36,0.6012869322137062,16,7.660732845318993,565.5984375,4504,5003702,1.9151832113297482,1501,2014
3406,37,0.5469502129670474,19,8.831962234658224,608.2342105263158,57,4115200,2.026191097581203,1501,2014
1100002,38,0.5410341584005209,7,6.0295604066493365,635.6428571428571,572,3306305,2.278959621576518,1501,2014
769,39,0.5361115651082722,17,11.913746309171202,625.8867647058823,9,4113700,2.8895079076191426,1501,2014
1134829,40,0.4209487082289612,19,6.8425423990511,576.7552631578947,8,3155504,1.569786886018742,1501,2014
113635,41,0.34009983796641474,21,9.142757814982549,562.0833333333334,634,4304663,1.9951133213241234,1501,2014
1103712,42,0.3328349558270354,17,6.167966785581634,609.5823529411764,1,5103403,1.4959516795443832,1501,2014
21159,43,0.2934134496443503,11,9.03098594898761,664.2113636363637,6,3146107,2.7229447163421447,1501,2014
64794,44,0.28432615621368124,15,9.382610179733142,621.3366666666666,595,3101607,2.422579531337509,1501,2014
67143,45,0.2502030834211442,28,11.527282932816414,639.8767857142857,56,3549805,2.1784517094651075,1501,2014
91749,46,0.16470504957811263,13,9.565585514779302,549.1846153846153,688,2918001,2.6530160810286443,1501,2014
306061,47,0.1430534590531914,35,8.009383571635572,601.4100000000002,234,3550308,1.3538329206640973,1501,2014
57548,48,0.023538609659049633,23,7.719100795980304,540.3293478260869,20,4314100,1.6095437795213325,1501,2014
1059775,49,0.007583045942947564,8,7.335151200547665,535.41875,4522,3502804,2.5933675774679497,1501,2014
31592,50,-0.005891236179006251,29,8.463152268567189,586.3086206896552,231,3548708,1.571567922555468,1501,2014
1102254,51,-0.008079392943076117,17,8.214293823478684,654.1544117647057,588,4106902,1.992258886709492,1501,2014
402038,52,-0.021408391268667337,4,7.729523225878336,526.69375,584,5205109,3.864761612939168,1501,2014
300700,53,-0.023411397053727967,16,8.500597588360884,647.3765625,8,3171303,2.125149397090221,1501,2014
12709,54,-0.029646624480311818,12,11.300016594416542,693.2666666666665,572,3303302,3.2620338113168144,1501,2014
51741,55,-0.04356605905267955,12,6.177859557388268,539.3395833333334,1949,3536505,1.7833944392369094,1501,2014
122298,56,-0.05118576012168898,19,9.379592149775547,604.525,107,3162500,2.151826016447317,1501,2014
302007,57,-0.12137214037773635,21,9.56831308125871,625.1595238095235,22,3550308,2.087977093709723,1501,2014
112500,58,-0.18813139406497056,24,10.56240232409602,522.2541666666666,437,4128104,2.1560413460018673,1501,2014
38863,59,-0.25347151348073793,67,8.33647582204267,572.8787313432837,521,3530607,1.0184626190687258,1501,2014
150310,60,-0.34421570400610113,8,6.415378719127702,565.478125,24,2913606,2.2681788980875326,1501,2014
312700,61,-0.3570268969960715,4,22.454965064613138,652.1062499999999,572,3303302,11.227482532306569,1501,2014
83244,62,-0.3809165889613233,10,8.350240441617181,528.9625000000001,3875,3128709,2.640577880556055,1501,2014
1659,63,-0.39982157221798037,46,8.269630536145497,593.3875,19,3509502,1.219290502927563,1501,2014
114093,64,-0.4081126381588804,39,9.282790190930443,598.6794871794873,107,3122306,1.4864360554336642,1501,2014
88418,65,-0.42570414877506696,31,7.004245478254337,552.4467741935484,670,3507605,1.2579996245915426,1501,2014
120805,66,-0.4280605898024296,22,7.68299195647896,537.4079545454547,271,3541406,1.6380193888757073,1501,2014
12335,67,-0.44064806959433206,44,8.579308937297695,595.6943181818183,570,2408102,1.2933794866163262,1501,2014
519,68,-0.4717032788320618,27,10.447001656569606,590.7157407407408,5,2211001,2.010526406214976,1501,2014
101064,69,-0.4912104906971842,35,11.462722835263627,663.7271428571431,591,3513801,1.9375537949993558,1501,2014
119294,70,-0.538359697999128,3,3.3813221504239226,537.8583333333333,1225,3501905,1.952207253764096,1501,2014
409604,71,-0.5545089040593475,23,10.852216082771923,599.8989130434783,588,4118501,2.262843477719951,1501,2014
310155,72,-0.58286088372076,24,8.213096490409834,537.3281249999999,496,3516200,1.676491300812284,1501,2014
305352,73,-0.5875511897801079,21,9.987115945465497,567.4869047619046,192,3304557,2.179367371161719,1501,2014
322,74,-0.626460882199174,8,9.34754484198962,614.8000000000002,3,2806701,3.3048561726080976,1501,2014
70220,75,-0.6296019380907325,5,7.088553385744383,581.6450000000001,641,4304606,3.1700974465321456,1501,2014
309840,76,-0.6589734272311412,8,6.1589552193117765,580.89375,481,3518800,2.1775195002998182,1501,2014
