curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
95017,1,17.594797747105222,3,8.89548126813302,609.3583333333333,3,2802908,5.135808504727873,4006,2014
62574,2,14.345281415158503,4,14.341978708875644,527.35625,430,4113700,7.170989354437822,4006,2014
11554,3,13.648222177643907,3,5.149189352528763,555.5166666666667,549,1200401,2.9728858587908364,4006,2014
57984,4,12.050153577534077,33,7.944640417424617,588.3810606060606,852,3550308,1.3829843812761742,4006,2014
20588,5,11.938018964966194,16,8.008067906818404,555.5265625,271,3541406,2.002016976704601,4006,2014
117022,6,11.53179647891072,6,12.253256481929734,596.5166666666667,1885,2111300,5.002371011363063,4006,2014
46104,7,11.253388211265001,10,8.742625631545526,558.2299999999999,1612,4127700,2.764660972585188,4006,2014
113813,8,10.94964817785819,7,8.084620242908585,666.8392857142857,600,2111300,3.0556992295906737,4006,2014
64664,9,10.705525939999413,7,11.953667359179526,539.717857142857,1334,2504009,4.5180615839398905,4006,2014
105688,10,10.521857296673222,5,5.922057309938872,567.38,1198,4106902,2.6484245423345714,4006,2014
104868,11,10.397599688418294,3,12.81907769185631,577.3166666666666,385,2927408,7.401097956155967,4006,2014
48993,12,10.342908240543677,6,9.468652757370117,532.9791666666666,1591,1600303,3.8655613011922934,4006,2014
60464,13,9.938296748757503,3,5.034152733370065,511.22499999999997,47,5219308,2.9064694357528973,4006,2014
19881,14,9.801274337241889,8,9.359068943379,593.84375,664,3205200,3.3089305577278534,4006,2014
20130,15,9.68687166066579,7,5.420006983505174,609.1857142857143,294,4321808,2.0485700832268643,4006,2014
82748,16,9.605074985167322,3,11.712975105215254,538.0416666666666,1046,3549805,6.762489330007412,4006,2014
1132918,17,9.271869090718667,2,3.6250815866111403,609.95,578,2927408,2.563319772247226,4006,2014
53333,18,9.0527829531237,5,1.7154466403096982,539.305,1364,2933307,0.7671710599012231,4006,2014
52809,19,9.037127574095123,2,1.7129819251746414,547.3625000000001,449,4303004,1.2112611353409761,4006,2014
53342,20,8.534059596457437,5,5.347762653188226,568.63,1895,2304400,2.391592164012701,4006,2014
107360,21,8.494803407804207,5,16.247256621268278,530.1899999999999,579,2512903,7.265994050607884,4006,2014
79349,22,8.471482327861423,6,8.594214055994097,604.5333333333333,1494,3205309,3.508573196240093,4006,2014
59001,23,8.458862778022803,11,8.010764924460624,560.0840909090908,2279,3509502,2.4153365034705097,4006,2014
97089,24,8.393544876273115,5,13.427008020030788,540.5899999999999,2579,3147006,6.00474053344474,4006,2014
73062,25,8.347132181084634,5,7.798146870427313,594.51,163,3303500,3.4874373001605434,4006,2014
1106427,26,8.196424698253063,6,7.670618440390814,557.8791666666666,582,4308508,3.1315168650901333,4006,2014
68937,27,8.163246944020464,5,10.819681090114026,612.265,3456,3509502,4.838708482472797,4006,2014
60430,28,8.121500578589844,7,10.952960982243498,579.6535714285715,47,5201108,4.139830125544291,4006,2014
54172,29,8.060812291786762,14,8.63439912285648,581.680357142857,76,4202404,2.307640232742171,4006,2014
51603,30,8.042484483001244,6,11.096875813461748,532.2333333333333,1559,3201506,4.530280580335549,4006,2014
57349,31,7.75480592613244,14,8.393244216378486,550.6214285714286,1196,4115200,2.2431888729435876,4006,2014
1137717,32,7.473223058358392,7,9.842042130733066,565.1321428571429,17,3143104,3.719942267277135,4006,2014
41710,33,7.392108101327137,13,12.629628189986335,550.4442307692308,1351,4209102,3.502828617618553,4006,2014
1153353,34,7.207255135485454,2,9.913171175843695,451.8375,3008,3549904,7.009670561502097,4006,2014
54890,35,7.11602292588116,12,10.111483447626497,559.3854166666666,222,3557105,2.918933845196802,4006,2014
18297,36,7.074644518398389,10,11.27202227729553,545.3299999999999,1838,3550308,3.5645264232411953,4006,2014
112086,37,6.927027175099161,8,8.497838269989503,510.6781250000001,4,1301902,3.004439533068068,4006,2014
88180,38,6.90841314029657,8,9.037043436333885,549.85,423,4317509,3.195077347854535,4006,2014
21295,39,6.84008099589676,5,10.78718393631796,485.65999999999997,1472,4207502,4.824175313480144,4006,2014
19995,40,6.77852544758679,16,10.00986880825823,600.3249999999999,1330,3106200,2.5024672020645573,4006,2014
54961,41,6.74028589931984,22,8.626707633741576,581.9840909090908,166,3159605,1.839220247304117,4006,2014
18686,42,6.544668588112884,19,7.773247572925459,579.2907894736842,10,4106902,1.783305296500257,4006,2014
83130,43,6.459160142125848,2,28.6785822733803,443.45,554,3107109,20.278820000323524,4006,2014
1161428,44,6.421771354021854,3,3.1847737533417457,530.9250000000001,344,3106200,1.8387299837999118,4006,2014
120018,45,6.250600122114334,13,7.951673497490739,571.8115384615385,1736,3303302,2.2053974246885333,4006,2014
46068,46,5.759598165811894,3,10.112065484868781,508.1666666666667,3304,2510808,5.838203729752115,4006,2014
80779,47,5.72094660470172,19,9.214126597625617,573.2118421052631,6,3136207,2.113865615370543,4006,2014
1050053,48,5.56931102361576,11,8.243499662863908,544.3022727272728,12847,4108403,2.485508667376438,4006,2014
22017,49,5.5628654502894195,6,9.405991458798193,539.7666666666668,1396,4108304,3.8399799331720597,4006,2014
69853,50,5.550517287430464,5,9.224241821162032,586.45,322,3550308,4.125206350602952,4006,2014
40343,51,5.5116704346160095,8,10.447063219151016,563.003125,398,2800308,3.693594622873123,4006,2014
100816,52,5.413472235959625,11,6.709891873116689,615.2295454545455,596,3121605,2.023108520634822,4006,2014
71851,53,5.390994686262486,7,6.4646424865969685,578.2571428571429,5599,3164704,2.4434051906396834,4006,2014
102590,54,5.253694653173673,20,8.211153656511659,561.93875,5,2208007,1.8360697749656028,4006,2014
65863,55,5.2012417365879315,7,10.596419133294848,504.4607142857143,1575,3104007,4.005069973500679,4006,2014
121794,56,5.196056205294733,4,4.858078612988408,591.1624999999999,694,5006606,2.429039306494204,4006,2014
19508,57,5.044959898589709,39,8.659495232923614,560.3057692307693,203,3550308,1.3866289845320112,4006,2014
116066,58,5.031727721942835,7,8.542438864519353,559.7142857142857,12,4315602,3.2287384036415983,4006,2014
50250,59,5.000416419077366,42,10.489879957338553,581.1898809523809,338,3118601,1.6186236181175446,4006,2014
95506,60,4.982038042550376,16,8.450116040475365,537.7546875,203,3550308,2.112529010118841,4006,2014
116770,61,4.945417850733457,9,8.395440011015962,561.7444444444445,570,2402006,2.7984800036719872,4006,2014
9440,62,4.896107687334862,5,7.927352315425866,541.7,453,1721000,3.545219731776518,4006,2014
60428,63,4.8779232628646705,8,9.295697232018425,560.60625,47,5205406,3.2865252743086235,4006,2014
67299,64,4.754373183099565,10,10.026388709369215,525.2300000000001,3641,3505500,3.1706225027802737,4006,2014
99820,65,4.625193257530328,6,10.80723458459685,580.475,3388,2307304,4.412035043803601,4006,2014
15264,66,4.614906653241217,6,8.734664106836059,509.6666666666667,663,3303302,3.565911689391886,4006,2014
