curso,rank,idd,N,std,enem.mean,ies,municipio,stderr,area,ano
7273,1,12.930702851950654,3,6.024830465685089,542.4166666666666,322,3550308,3.478437491185145,21,2014
88559,2,9.228757159736267,4,6.352707076651079,511.74375,2343,1200401,3.1763535383255395,21,2014
20300,3,7.611584546568515,18,4.325838313376114,539.6194444444444,146,3549805,1.019609868568276,21,2014
106552,4,7.141967279760518,25,6.006581646429072,595.971,664,3205200,1.2013163292858144,21,2014
49506,5,7.101151230539827,8,12.304004120201695,539.5218749999999,423,4317400,4.350122374570919,21,2014
59713,6,6.889224116196611,15,7.692060973815788,570.9316666666666,322,3552205,1.9860816033067032,21,2014
7302,7,6.8354111111059925,20,5.752787159756231,603.9224999999999,322,3509502,1.2863623149302874,21,2014
93392,8,6.567435993468317,17,8.670259166761793,555.2014705882352,344,3106200,2.102846726237567,21,2014
108426,9,6.405870151306418,31,8.386410229718091,517.8572580645163,1337,4118501,1.5062437422289525,21,2014
60020,10,6.164436135333318,24,10.070005931861791,534.9020833333335,322,5208707,2.055531353321768,21,2014
5000431,11,6.0666443036934155,5,4.958022885562157,562.2049999999999,322,3526902,2.2172952412233284,21,2014
18374,12,5.872817761210078,9,6.497381719388244,703.7166666666667,17,3170206,2.165793906462748,21,2014
1129147,13,5.865295680558049,5,10.678584716944073,628.345,2564,2504009,4.7756082661154595,21,2014
94975,14,5.785589178240273,26,7.789862178089014,567.9615384615385,1775,2604106,1.5277176636259338,21,2014
4602,15,5.7440106610931405,14,7.570273693065652,582.4089285714286,143,3170107,2.023240748825682,21,2014
59688,16,5.50554466859653,9,10.660015630897046,585.9666666666667,322,3549904,3.5533385436323486,21,2014
115454,17,5.360332638159958,10,7.668007412865583,570.64,322,3550308,2.424836853971036,21,2014
1534,18,5.0636824254857835,23,9.351375300129217,561.3489130434783,18,4314407,1.9498965413342455,21,2014
5000428,19,4.967211215923114,7,10.179914510893804,539.6428571428571,322,3504008,3.8476460233889616,21,2014
54932,20,4.859565819274734,20,8.469421413734267,548.605,2037,2919207,1.893820201120219,21,2014
51628,21,4.851647246514977,31,9.621644493396596,549.4629032258065,719,5101704,1.7280983652307513,21,2014
75996,22,4.797332407423062,17,9.136287568385415,533.8294117647058,322,3549805,2.2158752159100352,21,2014
7305,23,4.744933284446343,2,2.51522382017525,632.55,322,3543402,1.7785318194478525,21,2014
121413,24,4.237662838881566,3,7.480077689489493,566.45,1446,5300108,4.318624867586073,21,2014
112414,25,4.141472973014491,48,7.145893602577741,616.1802083333334,43,4209409,1.031420898762171,21,2014
9602,26,4.137442002145641,32,9.126247353106976,588.2554687499999,460,3550308,1.6133078475419307,21,2014
